2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
5:47.91,8:11.64,8:48.69,8:47.77,14:04.31,29:32.07,1274
5:48.12,8:11.91,8:49.07,8:48.07,14:04.81,29:33.14,1273
5:48.33,8:12.19,8:49.46,8:48.37,14:05.30,29:34.21,1272
5:48.54,8:12.47,8:49.84,8:48.67,14:05.79,29:35.28,1271
5:48.75,8:12.75,8:50.23,8:48.97,14:06.29,29:36.35,1270
5:48.96,8:13.03,8:50.62,8:49.28,14:06.78,29:37.43,1269
5:49.17,8:13.31,8:51.00,8:49.58,14:07.28,29:38.50,1268
5:49.38,8:13.58,8:51.39,8:49.88,14:07.77,29:39.57,1267
5:49.59,8:13.86,8:51.77,8:50.18,14:08.26,29:40.65,1266
5:49.80,8:14.14,8:52.16,8:50.49,14:08.76,29:41.72,1265
5:50.01,8:14.42,8:52.55,8:50.79,14:09.25,29:42.79,1264
5:50.22,8:14.70,8:52.93,8:51.09,14:09.75,29:43.87,1263
5:50.42,8:14.98,8:53.32,8:51.40,14:10.24,29:44.95,1262
5:50.63,8:15.26,8:53.71,8:51.70,14:10.74,29:46.02,1261
5:50.84,8:15.54,8:54.09,8:52.00,14:11.23,29:47.10,1260
5:51.05,8:15.82,8:54.48,8:52.30,14:11.73,29:48.17,1259
5:51.26,8:16.10,8:54.87,8:52.61,14:12.22,29:49.25,1258
5:51.48,8:16.38,8:55.26,8:52.91,14:12.72,29:50.33,1257
5:51.69,8:16.66,8:55.65,8:53.22,14:13.22,29:51.41,1256
5:51.90,8:16.94,8:56.03,8:53.52,14:13.71,29:52.49,1255
5:52.11,8:17.22,8:56.42,8:53.82,14:14.21,29:53.56,1254
5:52.32,8:17.50,8:56.81,8:54.13,14:14.71,29:54.64,1253
5:52.53,8:17.78,8:57.20,8:54.43,14:15.20,29:55.72,1252
5:52.74,8:18.06,8:57.59,8:54.74,14:15.70,29:56.80,1251
5:52.95,8:18.34,8:57.98,8:55.04,14:16.20,29:57.88,1250
5:53.16,8:18.62,8:58.36,8:55.34,14:16.70,29:58.97,1249
5:53.37,8:18.90,8:58.75,8:55.65,14:17.19,30:00.05,1248
5:53.58,8:19.18,8:59.14,8:55.95,14:17.69,30:01.13,1247
5:53.79,8:19.46,8:59.53,8:56.26,14:18.19,30:02.21,1246
5:54.00,8:19.74,8:59.92,8:56.56,14:18.69,30:03.29,1245
5:54.22,8:20.03,9:00.31,8:56.87,14:19.19,30:04.38,1244
5:54.43,8:20.31,9:00.70,8:57.17,14:19.69,30:05.46,1243
5:54.64,8:20.59,9:01.09,8:57.48,14:20.19,30:06.55,1242
5:54.85,8:20.87,9:01.48,8:57.79,14:20.68,30:07.63,1241
5:55.06,8:21.15,9:01.87,8:58.09,14:21.18,30:08.71,1240
5:55.27,8:21.43,9:02.26,8:58.40,14:21.68,30:09.80,1239
5:55.48,8:21.72,9:02.65,8:58.70,14:22.18,30:10.89,1238
5:55.70,8:22.00,9:03.04,8:59.01,14:22.68,30:11.97,1237
5:55.91,8:22.28,9:03.43,8:59.32,14:23.18,30:13.06,1236
5:56.12,8:22.56,9:03.82,8:59.62,14:23.68,30:14.15,1235
5:56.33,8:22.85,9:04.22,8:59.93,14:24.18,30:15.23,1234
5:56.54,8:23.13,9:04.61,9:00.23,14:24.69,30:16.32,1233
5:56.76,8:23.41,9:05.00,9:00.54,14:25.19,30:17.41,1232
5:56.97,8:23.69,9:05.39,9:00.85,14:25.69,30:18.50,1231
5:57.18,8:23.98,9:05.78,9:01.15,14:26.19,30:19.59,1230
5:57.39,8:24.26,9:06.17,9:01.46,14:26.69,30:20.68,1229
5:57.61,8:24.54,9:06.57,9:01.77,14:27.19,30:21.77,1228
5:57.82,8:24.83,9:06.96,9:02.08,14:27.69,30:22.86,1227
5:58.03,8:25.11,9:07.35,9:02.38,14:28.20,30:23.95,1226
5:58.25,8:25.39,9:07.74,9:02.69,14:28.70,30:25.04,1225
5:58.46,8:25.68,9:08.14,9:03.00,14:29.20,30:26.13,1224
5:58.67,8:25.96,9:08.53,9:03.31,14:29.70,30:27.23,1223
5:58.89,8:26.24,9:08.92,9:03.61,14:30.21,30:28.32,1222
5:59.10,8:26.53,9:09.32,9:03.92,14:30.71,30:29.41,1221
5:59.31,8:26.81,9:09.71,9:04.23,14:31.21,30:30.51,1220
5:59.53,8:27.10,9:10.10,9:04.54,14:31.72,30:31.60,1219
5:59.74,8:27.38,9:10.50,9:04.85,14:32.22,30:32.70,1218
5:59.95,8:27.66,9:10.89,9:05.16,14:32.73,30:33.79,1217
6:00.17,8:27.95,9:11.29,9:05.46,14:33.23,30:34.89,1216
6:00.38,8:28.23,9:11.68,9:05.77,14:33.74,30:35.98,1215
6:00.59,8:28.52,9:12.07,9:06.08,14:34.24,30:37.08,1214
6:00.81,8:28.80,9:12.47,9:06.39,14:34.74,30:38.18,1213
6:01.02,8:29.09,9:12.86,9:06.70,14:35.25,30:39.27,1212
6:01.24,8:29.37,9:13.26,9:07.01,14:35.76,30:40.37,1211
6:01.45,8:29.66,9:13.65,9:07.32,14:36.26,30:41.47,1210
6:01.66,8:29.94,9:14.05,9:07.63,14:36.77,30:42.57,1209
6:01.88,8:30.23,9:14.44,9:07.94,14:37.27,30:43.67,1208
6:02.09,8:30.51,9:14.84,9:08.25,14:37.78,30:44.77,1207
6:02.31,8:30.80,9:15.24,9:08.56,14:38.29,30:45.87,1206
6:02.52,8:31.09,9:15.63,9:08.87,14:38.79,30:46.97,1205
6:02.74,8:31.37,9:16.03,9:09.18,14:39.30,30:48.07,1204
6:02.95,8:31.66,9:16.42,9:09.49,14:39.81,30:49.17,1203
6:03.17,8:31.94,9:16.82,9:09.80,14:40.31,30:50.27,1202
6:03.38,8:32.23,9:17.22,9:10.11,14:40.82,30:51.38,1201
6:03.60,8:32.52,9:17.61,9:10.42,14:41.33,30:52.48,1200
6:03.81,8:32.80,9:18.01,9:10.73,14:41.84,30:53.58,1199
6:04.03,8:33.09,9:18.41,9:11.04,14:42.34,30:54.69,1198
6:04.24,8:33.38,9:18.81,9:11.35,14:42.85,30:55.79,1197
6:04.46,8:33.66,9:19.20,9:11.67,14:43.36,30:56.89,1196
6:04.67,8:33.95,9:19.60,9:11.98,14:43.87,30:58.00,1195
6:04.89,8:34.24,9:20.00,9:12.29,14:44.38,30:59.11,1194
6:05.11,8:34.52,9:20.40,9:12.60,14:44.89,31:00.21,1193
6:05.32,8:34.81,9:20.79,9:12.91,14:45.40,31:01.32,1192
6:05.54,8:35.10,9:21.19,9:13.22,14:45.91,31:02.42,1191
6:05.75,8:35.39,9:21.59,9:13.54,14:46.42,31:03.53,1190
6:05.97,8:35.67,9:21.99,9:13.85,14:46.93,31:04.64,1189
6:06.19,8:35.96,9:22.39,9:14.16,14:47.44,31:05.75,1188
6:06.40,8:36.25,9:22.79,9:14.47,14:47.95,31:06.86,1187
6:06.62,8:36.54,9:23.19,9:14.78,14:48.46,31:07.97,1186
6:06.83,8:36.83,9:23.59,9:15.10,14:48.97,31:09.08,1185
6:07.05,8:37.11,9:23.98,9:15.41,14:49.48,31:10.19,1184
6:07.27,8:37.40,9:24.38,9:15.72,14:49.99,31:11.30,1183
6:07.48,8:37.69,9:24.78,9:16.04,14:50.50,31:12.41,1182
6:07.70,8:37.98,9:25.18,9:16.35,14:51.01,31:13.52,1181
6:07.92,8:38.27,9:25.58,9:16.66,14:51.53,31:14.63,1180
6:08.14,8:38.56,9:25.98,9:16.98,14:52.04,31:15.75,1179
6:08.35,8:38.85,9:26.38,9:17.29,14:52.55,31:16.86,1178
6:08.57,8:39.14,9:26.79,9:17.60,14:53.06,31:17.97,1177
6:08.79,8:39.43,9:27.19,9:17.92,14:53.58,31:19.09,1176
6:09.00,8:39.72,9:27.59,9:18.23,14:54.09,31:20.20,1175
6:09.22,8:40.00,9:27.99,9:18.55,14:54.60,31:21.32,1174
6:09.44,8:40.29,9:28.39,9:18.86,14:55.12,31:22.43,1173
6:09.66,8:40.58,9:28.79,9:19.17,14:55.63,31:23.55,1172
