Date,Year,Distance,Event / Venue,Joggler,Gender,Nationality,Finish Time,Drops,Notes / Result Links,total_seconds,IAAF Points
11/07/2024,2024,3b 60m,"IJA, Green Bay",Kaylin Meyers,F,USA,0:00:30.52,?,IJA Database,30.52,0
11/07/2024,2024,3b 4x200m,"IJA, Green Bay","Jonathan Abbott, Eric Raivo, Aaron Heilig, Zoe Prawda",Mixed,0,0:02:56.41,?,IJA Database,176.41,0
11/07/2024,2024,3b 4x200m,"IJA, Green Bay","Mikey Free, Barak Hirschowitz, Jack Hirschowitz, Sterling Franklin",M,0,0:03:02.73,?,IJA Database,182.73,0
11/07/2024,2024,3b 4x200m,"IJA, Green Bay","Jacob Heimer, Nathan Nard, Samuel Dean, Mark Fiore",M,0,0:02:07.32,?,IJA Database,127.32,82
11/07/2024,2024,3b 800m,"IJA, Green Bay",Aaron Heilig,M,0,0:04:09.67,?,IJA Database,249.67,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Sterling Franklin,M,USA,0:02:37.45,?,IJA Database,157.45,119
11/07/2024,2024,3b 800m,"IJA, Green Bay",Eric Raivo,M,0,0:03:12.00,?,IJA Database,192.0,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Torrey Hamilton,M,0,0:03:12.73,?,IJA Database,192.73,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Barak Hirschowitz,M,USA,0:03:16.97,?,IJA Database,196.97,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Jack Hirschowitz,M,USA,0:04:31.17,?,IJA Database,271.17,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Justin Sheldon,M,0,0:04:43.00,?,IJA Database,283.0,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Samuel Dean,M,USA,0:02:19.20,?,IJA Database,139.2,362
11/07/2024,2024,3b 800m,"IJA, Green Bay",Jonathan Abbott,M,0,0:02:24.97,?,IJA Database,144.97,271
11/07/2024,2024,3b 800m,"IJA, Green Bay",Nathan Nard,M,0,0:02:35.14,?,IJA Database,155.14,142
11/07/2024,2024,3b 800m,"IJA, Green Bay",Kanoa Lindiwe,M,0,0:02:41.60,?,IJA Database,161.6,82
11/07/2024,2024,3b 800m,"IJA, Green Bay",Jacob Heimer,M,0,0:03:08.63,?,IJA Database,188.63,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Draco Tong,M,0,0:03:24.93,?,IJA Database,204.93,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Mikey Free,M,0,0:03:39.61,?,IJA Database,219.61,0
11/07/2024,2024,3b 800m,"IJA, Green Bay",Heather Marriott,F,USA,0:04:03.33,?,IJA Database,243.33,3
11/07/2024,2024,3b 800m,"IJA, Green Bay",Zoe Prawda,F,USA,0:04:48.03,?,IJA Database,288.03,0
11/07/2024,2024,3b 100m,"IJA, Green Bay",Aaron Heilig,M,0,2:43:00.00,?,"IJA Database, Mclincha Drubbling 100",9780.0,0
11/07/2024,2024,3b 100m,"IJA, Green Bay",Eric Raivo,M,0,0:00:45.87,?,"IJA Database, Mclincha Drubbling 100",45.87,0
11/07/2024,2024,3b 100m,"IJA, Green Bay",Sterling Franklin,M,USA,0:01:50.90,?,"IJA Database, Mclincha Drubbling 100",110.9,0
11/07/2024,2024,3b 100m,"IJA, Green Bay",Draco Tong,M,0,0:01:16.17,?,"IJA Database, Mclincha Drubbling 100",76.17,0
11/07/2024,2024,3b 100m,"IJA, Green Bay",Zoe Prawda,F,USA,0:02:25.29,?,"IJA Database, Mclincha Drubbling 100",145.29,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Aaron Heilig,M,0,0:00:29.77,?,IJA Database,29.77,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Sterling Franklin,M,USA,0:00:14.49,?,IJA Database,14.49,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Eric Raivo,M,0,0:00:15.70,?,IJA Database,15.7,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Justin Sheldon,M,0,0:00:26.06,?,IJA Database,26.06,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Mark Fiore,M,USA,0:00:08.74,?,IJA Database,8.74,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Kanoa Lindiwe,M,0,0:00:16.65,?,IJA Database,16.65,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Draco Tong,M,0,0:00:20.06,?,IJA Database,20.06,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Jacob Heimer,M,0,0:00:35.76,?,IJA Database,35.76,0
11/07/2024,2024,4b 60m,"IJA, Green Bay",Zoe Prawda,F,USA,0:00:32.48,?,IJA Database,32.48,0
11/07/2024,2024,5b 200m,"IJA, Green Bay",Aaron Heilig,M,0,0:04:51.27,?,IJA Database,291.27,0
11/07/2024,2024,5b 200m,"IJA, Green Bay",Sterling Franklin,M,USA,0:02:03.30,?,IJA Database,123.3,0
11/07/2024,2024,5b 200m,"IJA, Green Bay",Eric Raivo,M,0,0:02:33.30,?,IJA Database,153.3,0
11/07/2024,2024,5b 200m,"IJA, Green Bay",Justin Sheldon,M,0,0:02:53.29,?,IJA Database,173.29,0
11/07/2024,2024,5b 200m,"IJA, Green Bay",Mark Fiore,M,USA,0:01:24.63,?,IJA Database,84.63,0
11/07/2024,2024,5b 200m,"IJA, Green Bay",Kanoa Lindiwe,M,0,0:01:48.15,?,IJA Database,108.15,0
11/07/2024,2024,5b 200m,"IJA, Green Bay",Draco Tong,M,0,0:04:03.42,?,IJA Database,243.42,0
11/07/2024,2024,5b 200m,"IJA, Green Bay",Delaney Bayles,F,0,0:01:53.49,?,IJA Database,113.49,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Aaron Heilig,M,0,0:01:03.78,?,IJA Database,63.78,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Justin Sheldon,M,0,0:00:31.80,?,IJA Database,31.8,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Eric Raivo,M,0,0:00:33.16,?,IJA Database,33.16,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Sterling Franklin,M,USA,0:00:35.71,?,IJA Database,35.71,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Kanoa Lindiwe,M,0,0:00:29.15,?,IJA Database,29.15,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Mark Fiore,M,USA,0:00:35.87,?,IJA Database,35.87,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Draco Tong,M,0,0:01:02.50,?,IJA Database,62.5,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Delaney Bayles,F,0,0:00:32.89,?,IJA Database,32.89,0
11/07/2024,2024,5b 60m,"IJA, Green Bay",Zoe Prawda,F,USA,0:02:52.83,?,IJA Database,172.83,0
06/07/2024,2024,4b 5km,Holyrood Parkrun,Scott Jenkins,M,GBR,0:33:28.00,7,https://www.parkrun.org.uk/holyrood/results/94/,2008.0,0
29/06/2024,2024,5b 5km,Lancing Beach Green Parkrun,Scott Jenkins,M,GBR,0:51:05.00,100,https://www.parkrun.org.uk/lancingbeachgreen/results/209/,3065.0,0
29/06/2024,2024,3b 5km,"Olympic Day 5k, Micronesia",Dana Lee Ling,M,FSM,0:34:56.00,2,https://strava.app.link/xCOoiGAPLLb,2096.0,0
27/06/2024,2024,3b 5km,"St. Peter's Fiesta 5k Road Race, Gloucester MA",Richard Ross,M,USA,0:21:11.00,?,"https://results.raceroster.com/v2/en-US/results/2ndsm4heza7fpp96/detail/ghjtbysgwdzz6k3h
    https://www.instagram.com/p/C820yD9vLIH/?igsh=cXVnajd6ejRlcGE=",1271.0,79
22/06/2024,2024,4b 5km,Holyrood Parkrun,Scott Jenkins,M,GBR,0:35:05.00,15,https://www.parkrun.org.uk/holyrood/results/92/,2105.0,0
15/06/2024,2024,3b 5km,Lanark Moor Parkrun,Scott Jenkins,M,GBR,0:21:36.00,0,https://www.parkrun.org.uk/lanarkmoor/results/214/,1296.0,57
14/06/2024,2024,3b 100m,Time Trial,Jean-Marc Doiron,M,CAN,0:00:15.29,0,https://www.instagram.com/reel/C8NTtX8uWZ2/?igsh=ZGUzMzM3NWJiOQ%3D%3D,15.29,71
13/06/2024,2024,3b 10km,I Ty Mo?esz Biega? Wieczorem,Kacper Suchora,M,POL,0:46:02.00,3,https://itmbw.pl/itmbwieczorem-wyniki/,2762.0,79
12/06/2024,2024,3b Mile,Harrisburg Mile,Tim Ebersole,M,USA,0:06:08.00,?,https://www.strava.com/activities/11638445130,368.0,77
12/06/2024,2024,3b Mile,"Harrisburg Mile Time Trial, Pennsylvania",Tim Ebersole,M,USA,0:06:07.00,?,https://strava.app.link/gAaPIIDQLLb,367.0,80
09/06/2024,2024,3b 10km,Ilkley 10km,Chris Edwin,M,GBR,0:38:06.00,0,https://www.strava.com/activities/11610045382,2286.0,393
09/06/2024,2024,3b 10km,Vrukshathon 2024,Ketan Abhonkar,M,IND,1:04:46.00,5,https://alpharacingsolution.com/event/bibres/511e002f-fd82-494c-8335-69818d8834f5/?bibno=1542,3886.0,0
08/06/2024,2024,3b Marathon,Divorce Day Marathon,Tim Butler,M,GBR,4:56:22.00,?,Marathon #97: https://www.joggling.co.uk/Marathon-List,17782.0,0
08/06/2024,2024,3b 2 Miles,Walleye Weekend 2 Mile Race,Samuel Dean,M,USA,0:11:04.20,0,https://www.strava.com/activities/11604611750,664.2,406
08/06/2024,2024,3b 5 Miles,Walleye Weekend 5 Mile Race,Samuel Dean,M,USA,0:29:45.90,1,https://www.strava.com/activities/11604610913,1785.9,0
08/06/2024,2024,3b 10km,"Chaleur 10km, Beresford, New Brunswick",Jean-Marc Doiron,M,CAN,0:37:45.00,?,https://results.raceroster.com/v2/en-US/results/c2fsjcbar2gm22u4/detail/jq6esmxk6peqs9hm,2265.0,412
08/06/2024,2024,4b 5km,Worcester Pitchcroft Parkrun,Scott Jenkins,M,GBR,0:38:41.00,31,https://www.parkrun.org.uk/worcesterpitchcroft/results/260/,2321.0,0
02/06/2024,2024,3b 5km,Race for Agrace 5km,Samuel Dean,M,USA,0:17:58.00,0,https://www.strava.com/activities/11556827273,1078.0,364
01/06/2024,2024,3b 5km,M?ynówka Królewska Parkrun,Kacper Suchora,M,POL,0:23:26.00,1,https://www.parkrun.pl/mlynowkakrolewska/results/36/,1406.0,3
01/06/2024,2024,3b 5km,Vogrie Parkrun,Scott Jenkins,M,GBR,0:25:11.00,0,https://www.parkrun.org.uk/vogrie/results/279/,1511.0,0
01/06/2024,2024,3b 5km,"SoJo Summerfest 5k, Utah",David Tate,M,USA,0:23:13.00,?,"https://results.raceroster.com/v2/en-US/results/fav9fzqqraxrtc5n/detail/46q6dqqxcybafs5v
   https://x.com/dren_braves/status/1796917930078449700?t=lcn6W164pnNmSYz2JpRpVQ&s=19",1393.0,6
26/05/2024,2024,3b Half Marathon,Run Madtown Half Marathon,Samuel Dean,M,USA,1:31:31.00,3,https://www.strava.com/activities/11503046086  https://results.raceroster.com/v2/en-US/results/pft2hpqqzamghxwy/results?subEvent=199748&page=1,5491.0,238
26/05/2024,2024,3b Marathon,Ottawa Marathon,Michal Kapral,M,CAN,3:08:26.00,2,https://www.instagram.com/p/C7emxQTxVVN/,11306.0,352
26/05/2024,2024,3b Marathon,Edinburgh Marathon,Chris Edwin,M,GBR,3:14:25.00,2,https://www.strava.com/activities/11501501012,11665.0,295
26/05/2024,2024,3b Marathon,Edinburgh Marathon,James McDiarmid,M,GBR,3:27:30.00,5,https://www.instagram.com/p/C7ce9jMIy37/,12450.0,189
26/05/2024,2024,3b Marathon,Edinburgh Marathon,Scott Jenkins,M,GBR,3:41:58.00,1,https://www.strava.com/activities/11501787895,13318.0,99
25/05/2024,2024,3b 5km,Twilight 5km,Samuel Dean,M,USA,0:18:31.00,0,https://www.strava.com/activities/11497983220 https://results.itsracetime.com/results.aspx?CId=17095&RId=4417&EId=2,1111.0,300
25/05/2024,2024,3b 10km,Bratfest 10km,Samuel Dean,M,USA,0:38:01.90,1,https://www.strava.com/activities/11494825025  https://results.itsracetime.com/results.aspx?CId=17095&RId=4417&EId=2,2281.9,398
25/05/2024,2024,3b 5km,Meadowmill Parkrun,Scott Jenkins,M,GBR,0:27:57.00,0,https://www.parkrun.org.uk/meadowmill/results/183,1677.0,0
20/05/2024,2024,3b 800m,Time Trial,Tristan Heinicke,M,USA,0:02:15.50,1,https://www.strava.com/activities/11460278327,135.5,427
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Daniel Glus,M,USA,0:17:38.00,?,https://runsignup.com/Race/Photos/158434/290940/426,1058.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Joey Silknitter,M,USA,0:19:17.00,?,https://runsignup.com/Race/Photos/Location/SuperheroSprint/NJ/WallTwp/superherosprint,1157.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Trevor Stenson,M,USA,0:19:20.00,?,https://runsignup.com/Race/Photos/158434/290940/329,1160.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Guy Robinson,M,USA,0:21:28.00,?,https://runsignup.com/Race/Photos/158434/290940/427,1288.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Marcus Pullman,M,USA,0:22:53.00,?,https://runsignup.com/Race/Photos/158434/290940/327,1373.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Zoe Prawda,F,USA,0:25:02.00,?,https://runsignup.com/Race/Photos/Location/SuperheroSprint/NJ/WallTwp/superherosprint,1502.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Christian Gonzales,M,USA,0:25:19.00,?,https://runsignup.com/Race/Photos/Location/SuperheroSprint/NJ/WallTwp/superherosprint,1519.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Jeffery Mitchell,M,USA,0:25:37.00,?,https://runsignup.com/Race/Photos/158434/290940/325,1537.0,0
19/05/2024,2024,3c 2 Miles,"Super Hero Sprint, New Jersey, USA",Karly Swaim,F,USA,0:26:24.00,?,https://runsignup.com/Race/Photos/158434/290940/331,1584.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Nanci Newton,F,USA,0:30:01.00,?,https://runsignup.com/Race/Photos/158434/290940/324,1801.0,0
19/05/2024,2024,3c 2 Miles,"Super Hero Sprint, New Jersey, USA",Brenn Swanson,F,USA,0:32:38.00,?,https://runsignup.com/Race/Photos/Location/SuperheroSprint/NJ/WallTwp/superherosprint,1958.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Elliot Kaplan,M,USA,0:33:02.00,?,https://runsignup.com/Race/Photos/Location/SuperheroSprint/NJ/WallTwp/superherosprint,1982.0,0
19/05/2024,2024,3b 2 Miles,"Super Hero Sprint, New Jersey, USA",Donnell Griffith,M,USA,0:35:54.00,?,https://runsignup.com/Race/Photos/158434/290940/321,2154.0,0
19/05/2024,2024,3b Half Marathon,Cellcom Green Bay Half Marathon,Samuel Dean,M,USA,1:26:07.00,1,"https://runsignup.com/Race/Results/132944/?resultSetId=382322#resultSetId-457438;perpage:100  https://www.strava.com/activities/11448641958
",5167.0,349
19/05/2024,2024,3b 50km,Time Trial,Jason Bigonia,M,USA,4:33:24.00,?,https://lcnme.com/sports/sbs-teacher-sets-50-km-joggling-world-record-falls-short-on-50-mile/,16404.0,0
18/05/2024,2024,3b 5km,Palacerigg Country Parkrun,James McDiarmid,M,GBR,0:20:07.00,1,https://www.parkrun.org.uk/palaceriggcountry/results/84/,1207.0,150
18/05/2024,2024,3b 5km,M?ynówka Królewska Parkrun,Kacper Suchora,M,POL,0:23:21.00,1,https://www.parkrun.pl/mlynowkakrolewska/results/34/,1401.0,4
18/05/2024,2024,3c 5km,"Spring into Summer 5k, New Jersey",Karly Swaim,F,USA,0:34:09.00,9,https://runsignup.com/Race/Results/21231/IndividualResult/gJXz?resultSetId=458231#U21578490,2049.0,2
18/05/2024,2024,3b 5km,Palacerigg Country Parkrun,Scott Jenkins,M,GBR,0:20:22.00,0,https://www.parkrun.org.uk/palaceriggcountry/results/84/,1222.0,132
12/05/2024,2024,3b Marathon,Fredericton Marathon,Jean-Marc Doiron,M,CAN,2:52:39.00,?,https://results.raceroster.com/v2/en-CA/results/mgba2wayykp2qux2/results  https://www.instagram.com/p/C64QdY6uqnH/,10359.0,524
11/05/2024,2024,3c 5km,"Monmouth Beach PTO Run-Walk-Wag, New Jersey",Karly Swaim,F,USA,0:35:16.00,9,https://my4.raceresult.com/289135/certificates/37/Finisher%20Certificate,2116.0,0
