Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
71,0:02:13.00,0,Zoe Roy,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
72,0:02:13.50,0,Louison Vatin,F,FRA,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
73,0:02:14.00,0,Cindy Hout,F,Unknown,13/08/1994,"IJA, Vermont",https://dev.juggle.org/history/champs/champs1994.php
73,0:02:14.00,0,Chloe Hirschowitz,F,USA,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
75,0:02:16.00,0,Aubree Kolas,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
76,0:02:16.70,0,Jane Hussey,F,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
77,0:02:22.04,0,Sanne Carper,F,NLD,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
78,0:02:28.00,0,Rachel Stern,F,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
79,0:02:35.60,0,Rebecca Middleton,F,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
80,0:02:41.60,0,Julia Bonhoff,F,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
81,0:02:43.70,0,Sarah Kresser,F,Unknown,22/07/2023,"IJA, Southbend",IJA Database
82,0:02:48.30,0,Rhonda Samkoff,F,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
83,0:02:50.41,0,Elizabeth Sychugova,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
84,0:02:55.95,0,Jaye Butler,F,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
85,0:02:56.20,0,Deulina Kristina,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
86,0:02:57.22,0,Aline Faller,F,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
87,0:02:57.70,0,Jill Edgecomb,F,Unknown,2020,"IJA, Virtual",IJA Database
88,0:03:03.20,0,Raskostova Kristina,F,RUS,23/06/2023,"Russian Juggling Convention, Dmitrov, Russia",https://vk.com/wall-64197511_4495
89,0:03:05.00,0,Muffy Roy,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
90,0:03:28.10,0,Novikova Julia,F,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
91,0:03:33.86,0,Klementyeva Nadezhda,F,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
92,0:03:39.50,0,Mary Geeves,F,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
93,0:04:49.85,0,Julia Len,F,RUS,17/07/2022,"Saint-Petersburg Open Joggling Champinship, Saint-Petersburg, Russia",https://vk.com/wall-16055255_8327
94,0:05:02.80,0,Teresa Rochester,F,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
95,0:18:22.00,0,Laura Dickerson,F,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
