Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
109,0:03:55.70,Mark Jolin,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
110,0:03:58.83,Austin Bruckner,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
111,0:04:01.00,Todd Warner,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
112,0:04:02.20,David Pavlove Cunsolo,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
113,0:04:09.50,Carter Randall,M,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
114,0:04:12.00,Nathan Biggs-Penton,M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
115,0:04:14.00,Michael Mazur,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
116,0:04:18.00,Anthony Zeszut,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
117,0:04:19.00,Steve Upmeyer,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
117,0:04:19.00,Dan Rosenthal,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
119,0:04:21.00,Kevin Beargie,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
120,0:04:21.70,Stevan Clipson,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
121,0:04:51.00,Caleb Black,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
122,0:04:58.00,Larry Schonhofen,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
123,0:04:59.30,Gordon Cornell,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
124,0:05:01.00,Quentin Dombro,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
125,0:05:05.60,Riley McLincha,M,USA,22/07/2023,"IJA, Southbend",IJA Database
126,0:05:12.20,Andy Shue,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
127,0:05:16.80,Danny Hodge,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
128,0:05:23.90,Isaac Cantor,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
129,0:05:31.30,Joshua Black,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
130,0:06:02.00,Vincent Kaseman,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
131,0:07:00.60,Izaak Jolin,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
132,0:07:04.10,Garrett Borawski,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
133,0:07:16.50,Barry Goldmeier,M,USA,24/07/2018,"IJA, Springfield",IJA Database
