600m,800m,1000m,1500m,Mile,2000m,Points
1:15.51,1:46.45,2:17.42,3:38.29,3:55.57,5:00.37,1130
1:15.53,1:46.48,2:17.47,3:38.36,3:55.65,5:00.48,1129
1:15.56,1:46.52,2:17.51,3:38.43,3:55.73,5:00.58,1128
1:15.58,1:46.55,2:17.56,3:38.51,3:55.81,5:00.68,1127
1:15.60,1:46.58,2:17.60,3:38.58,3:55.89,5:00.78,1126
1:15.63,1:46.62,2:17.65,3:38.66,3:55.97,5:00.88,1125
1:15.65,1:46.65,2:17.69,3:38.73,3:56.05,5:00.98,1124
1:15.68,1:46.68,2:17.74,3:38.80,3:56.13,5:01.08,1123
1:15.70,1:46.72,2:17.78,3:38.88,3:56.21,5:01.18,1122
1:15.73,1:46.75,2:17.83,3:38.95,3:56.28,5:01.28,1121
1:15.75,1:46.78,2:17.88,3:39.03,3:56.36,5:01.38,1120
1:15.78,1:46.82,2:17.92,3:39.10,3:56.44,5:01.49,1119
1:15.80,1:46.85,2:17.97,3:39.17,3:56.52,5:01.59,1118
1:15.83,1:46.89,2:18.01,3:39.25,3:56.60,5:01.69,1117
1:15.85,1:46.92,2:18.06,3:39.32,3:56.68,5:01.79,1116
1:15.88,1:46.95,2:18.10,3:39.40,3:56.76,5:01.89,1115
1:15.90,1:46.99,2:18.15,3:39.47,3:56.84,5:01.99,1114
1:15.93,1:47.02,2:18.20,3:39.55,3:56.92,5:02.09,1113
1:15.95,1:47.05,2:18.24,3:39.62,3:57.00,5:02.19,1112
1:15.97,1:47.09,2:18.29,3:39.69,3:57.08,5:02.30,1111
1:16.00,1:47.12,2:18.33,3:39.77,3:57.16,5:02.40,1110
1:16.02,1:47.16,2:18.38,3:39.84,3:57.24,5:02.50,1109
1:16.05,1:47.19,2:18.42,3:39.92,3:57.32,5:02.60,1108
1:16.07,1:47.22,2:18.47,3:39.99,3:57.40,5:02.70,1107
1:16.10,1:47.26,2:18.52,3:40.07,3:57.48,5:02.80,1106
1:16.12,1:47.29,2:18.56,3:40.14,3:57.56,5:02.91,1105
1:16.15,1:47.32,2:18.61,3:40.22,3:57.65,5:03.01,1104
1:16.17,1:47.36,2:18.65,3:40.29,3:57.73,5:03.11,1103
1:16.20,1:47.39,2:18.70,3:40.37,3:57.81,5:03.21,1102
1:16.22,1:47.43,2:18.75,3:40.44,3:57.89,5:03.31,1101
1:16.25,1:47.46,2:18.79,3:40.52,3:57.97,5:03.42,1100
1:16.27,1:47.49,2:18.84,3:40.59,3:58.05,5:03.52,1099
1:16.30,1:47.53,2:18.88,3:40.66,3:58.13,5:03.62,1098
1:16.32,1:47.56,2:18.93,3:40.74,3:58.21,5:03.72,1097
1:16.35,1:47.60,2:18.98,3:40.81,3:58.29,5:03.83,1096
1:16.37,1:47.63,2:19.02,3:40.89,3:58.37,5:03.93,1095
1:16.40,1:47.66,2:19.07,3:40.96,3:58.45,5:04.03,1094
1:16.42,1:47.70,2:19.11,3:41.04,3:58.53,5:04.13,1093
1:16.45,1:47.73,2:19.16,3:41.11,3:58.61,5:04.23,1092
1:16.47,1:47.76,2:19.21,3:41.19,3:58.69,5:04.34,1091
1:16.50,1:47.80,2:19.25,3:41.26,3:58.77,5:04.44,1090
1:16.52,1:47.83,2:19.30,3:41.34,3:58.85,5:04.54,1089
1:16.55,1:47.87,2:19.35,3:41.41,3:58.93,5:04.64,1088
1:16.57,1:47.90,2:19.39,3:41.49,3:59.02,5:04.75,1087
1:16.60,1:47.94,2:19.44,3:41.57,3:59.10,5:04.85,1086
1:16.62,1:47.97,2:19.48,3:41.64,3:59.18,5:04.95,1085
1:16.65,1:48.00,2:19.53,3:41.72,3:59.26,5:05.06,1084
1:16.67,1:48.04,2:19.58,3:41.79,3:59.34,5:05.16,1083
1:16.70,1:48.07,2:19.62,3:41.87,3:59.42,5:05.26,1082
1:16.72,1:48.11,2:19.67,3:41.94,3:59.50,5:05.36,1081
1:16.75,1:48.14,2:19.72,3:42.02,3:59.58,5:05.47,1080
1:16.77,1:48.17,2:19.76,3:42.09,3:59.66,5:05.57,1079
1:16.80,1:48.21,2:19.81,3:42.17,3:59.75,5:05.67,1078
1:16.82,1:48.24,2:19.86,3:42.24,3:59.83,5:05.78,1077
1:16.85,1:48.28,2:19.90,3:42.32,3:59.91,5:05.88,1076
1:16.87,1:48.31,2:19.95,3:42.39,3:59.99,5:05.98,1075
1:16.90,1:48.35,2:20.00,3:42.47,4:00.07,5:06.09,1074
1:16.92,1:48.38,2:20.04,3:42.55,4:00.15,5:06.19,1073
1:16.95,1:48.41,2:20.09,3:42.62,4:00.23,5:06.29,1072
1:16.97,1:48.45,2:20.13,3:42.70,4:00.32,5:06.40,1071
1:17.00,1:48.48,2:20.18,3:42.77,4:00.40,5:06.50,1070
1:17.02,1:48.52,2:20.23,3:42.85,4:00.48,5:06.60,1069
1:17.05,1:48.55,2:20.27,3:42.93,4:00.56,5:06.71,1068
1:17.08,1:48.59,2:20.32,3:43.00,4:00.64,5:06.81,1067
1:17.10,1:48.62,2:20.37,3:43.08,4:00.72,5:06.91,1066
1:17.13,1:48.65,2:20.41,3:43.15,4:00.81,5:07.02,1065
1:17.15,1:48.69,2:20.46,3:43.23,4:00.89,5:07.12,1064
1:17.18,1:48.72,2:20.51,3:43.31,4:00.97,5:07.23,1063
1:17.20,1:48.76,2:20.56,3:43.38,4:01.05,5:07.33,1062
1:17.23,1:48.79,2:20.60,3:43.46,4:01.13,5:07.43,1061
1:17.25,1:48.83,2:20.65,3:43.53,4:01.22,5:07.54,1060
1:17.28,1:48.86,2:20.70,3:43.61,4:01.30,5:07.64,1059
1:17.30,1:48.90,2:20.74,3:43.69,4:01.38,5:07.75,1058
1:17.33,1:48.93,2:20.79,3:43.76,4:01.46,5:07.85,1057
1:17.35,1:48.97,2:20.84,3:43.84,4:01.54,5:07.95,1056
1:17.38,1:49.00,2:20.88,3:43.91,4:01.63,5:08.06,1055
1:17.40,1:49.03,2:20.93,3:43.99,4:01.71,5:08.16,1054
1:17.43,1:49.07,2:20.98,3:44.07,4:01.79,5:08.27,1053
1:17.46,1:49.10,2:21.02,3:44.14,4:01.87,5:08.37,1052
1:17.48,1:49.14,2:21.07,3:44.22,4:01.95,5:08.48,1051
1:17.51,1:49.17,2:21.12,3:44.30,4:02.04,5:08.58,1050
1:17.53,1:49.21,2:21.17,3:44.37,4:02.12,5:08.68,1049
1:17.56,1:49.24,2:21.21,3:44.45,4:02.20,5:08.79,1048
1:17.58,1:49.28,2:21.26,3:44.53,4:02.28,5:08.89,1047
1:17.61,1:49.31,2:21.31,3:44.60,4:02.37,5:09.00,1046
1:17.63,1:49.35,2:21.35,3:44.68,4:02.45,5:09.10,1045
1:17.66,1:49.38,2:21.40,3:44.76,4:02.53,5:09.21,1044
