600m,800m,1000m,1500m,Mile,2000m,Points
1:28.05,2:03.52,2:40.60,4:15.96,4:36.11,5:51.81,677
1:28.08,2:03.56,2:40.66,4:16.05,4:36.22,5:51.94,676
1:28.11,2:03.61,2:40.72,4:16.15,4:36.32,5:52.07,675
1:28.14,2:03.65,2:40.78,4:16.25,4:36.42,5:52.20,674
1:28.17,2:03.69,2:40.84,4:16.34,4:36.53,5:52.33,673
1:28.20,2:03.74,2:40.89,4:16.44,4:36.63,5:52.46,672
1:28.24,2:03.78,2:40.95,4:16.53,4:36.73,5:52.59,671
1:28.27,2:03.82,2:41.01,4:16.63,4:36.83,5:52.72,670
1:28.30,2:03.87,2:41.07,4:16.72,4:36.94,5:52.86,669
1:28.33,2:03.91,2:41.13,4:16.82,4:37.04,5:52.99,668
1:28.36,2:03.95,2:41.19,4:16.92,4:37.14,5:53.12,667
1:28.40,2:04.00,2:41.25,4:17.01,4:37.25,5:53.25,666
1:28.43,2:04.04,2:41.31,4:17.11,4:37.35,5:53.38,665
1:28.46,2:04.09,2:41.37,4:17.20,4:37.45,5:53.51,664
1:28.49,2:04.13,2:41.43,4:17.30,4:37.56,5:53.64,663
1:28.52,2:04.17,2:41.48,4:17.40,4:37.66,5:53.77,662
1:28.56,2:04.22,2:41.54,4:17.49,4:37.77,5:53.91,661
1:28.59,2:04.26,2:41.60,4:17.59,4:37.87,5:54.04,660
1:28.62,2:04.30,2:41.66,4:17.69,4:37.97,5:54.17,659
1:28.65,2:04.35,2:41.72,4:17.78,4:38.08,5:54.30,658
1:28.68,2:04.39,2:41.78,4:17.88,4:38.18,5:54.43,657
1:28.72,2:04.44,2:41.84,4:17.98,4:38.29,5:54.57,656
1:28.75,2:04.48,2:41.90,4:18.07,4:38.39,5:54.70,655
1:28.78,2:04.52,2:41.96,4:18.17,4:38.49,5:54.83,654
1:28.81,2:04.57,2:42.02,4:18.27,4:38.60,5:54.96,653
1:28.85,2:04.61,2:42.08,4:18.36,4:38.70,5:55.09,652
1:28.88,2:04.65,2:42.14,4:18.46,4:38.81,5:55.23,651
1:28.91,2:04.70,2:42.20,4:18.56,4:38.91,5:55.36,650
1:28.94,2:04.74,2:42.26,4:18.66,4:39.02,5:55.49,649
1:28.98,2:04.79,2:42.32,4:18.75,4:39.12,5:55.63,648
1:29.01,2:04.83,2:42.38,4:18.85,4:39.23,5:55.76,647
1:29.04,2:04.88,2:42.44,4:18.95,4:39.33,5:55.89,646
1:29.07,2:04.92,2:42.50,4:19.05,4:39.44,5:56.03,645
1:29.11,2:04.96,2:42.56,4:19.14,4:39.54,5:56.16,644
1:29.14,2:05.01,2:42.62,4:19.24,4:39.65,5:56.29,643
1:29.17,2:05.05,2:42.68,4:19.34,4:39.75,5:56.43,642
1:29.20,2:05.10,2:42.74,4:19.44,4:39.86,5:56.56,641
1:29.24,2:05.14,2:42.80,4:19.53,4:39.96,5:56.69,640
1:29.27,2:05.19,2:42.86,4:19.63,4:40.07,5:56.83,639
1:29.30,2:05.23,2:42.92,4:19.73,4:40.17,5:56.96,638
1:29.33,2:05.27,2:42.98,4:19.83,4:40.28,5:57.10,637
1:29.37,2:05.32,2:43.04,4:19.93,4:40.39,5:57.23,636
1:29.40,2:05.36,2:43.10,4:20.03,4:40.49,5:57.36,635
1:29.43,2:05.41,2:43.16,4:20.12,4:40.60,5:57.50,634
1:29.46,2:05.45,2:43.22,4:20.22,4:40.70,5:57.63,633
1:29.50,2:05.50,2:43.28,4:20.32,4:40.81,5:57.77,632
1:29.53,2:05.54,2:43.34,4:20.42,4:40.92,5:57.90,631
1:29.56,2:05.59,2:43.41,4:20.52,4:41.02,5:58.04,630
1:29.60,2:05.63,2:43.47,4:20.62,4:41.13,5:58.17,629
1:29.63,2:05.68,2:43.53,4:20.72,4:41.23,5:58.31,628
1:29.66,2:05.72,2:43.59,4:20.82,4:41.34,5:58.44,627
1:29.69,2:05.77,2:43.65,4:20.91,4:41.45,5:58.58,626
1:29.73,2:05.81,2:43.71,4:21.01,4:41.55,5:58.71,625
1:29.76,2:05.86,2:43.77,4:21.11,4:41.66,5:58.85,624
1:29.79,2:05.90,2:43.83,4:21.21,4:41.77,5:58.98,623
1:29.83,2:05.95,2:43.89,4:21.31,4:41.88,5:59.12,622
1:29.86,2:05.99,2:43.95,4:21.41,4:41.98,5:59.26,621
1:29.89,2:06.04,2:44.02,4:21.51,4:42.09,5:59.39,620
1:29.93,2:06.08,2:44.08,4:21.61,4:42.20,5:59.53,619
1:29.96,2:06.13,2:44.14,4:21.71,4:42.30,5:59.66,618
1:29.99,2:06.17,2:44.20,4:21.81,4:42.41,5:59.80,617
1:30.03,2:06.22,2:44.26,4:21.91,4:42.52,5:59.94,616
1:30.06,2:06.26,2:44.32,4:22.01,4:42.63,6:00.07,615
1:30.09,2:06.31,2:44.38,4:22.11,4:42.73,6:00.21,614
1:30.13,2:06.35,2:44.45,4:22.21,4:42.84,6:00.35,613
1:30.16,2:06.40,2:44.51,4:22.31,4:42.95,6:00.48,612
1:30.19,2:06.44,2:44.57,4:22.41,4:43.06,6:00.62,611
1:30.23,2:06.49,2:44.63,4:22.51,4:43.17,6:00.76,610
1:30.26,2:06.54,2:44.69,4:22.61,4:43.27,6:00.89,609
1:30.29,2:06.58,2:44.75,4:22.71,4:43.38,6:01.03,608
1:30.33,2:06.63,2:44.82,4:22.81,4:43.49,6:01.17,607
1:30.36,2:06.67,2:44.88,4:22.91,4:43.60,6:01.31,606
1:30.39,2:06.72,2:44.94,4:23.01,4:43.71,6:01.44,605
1:30.43,2:06.76,2:45.00,4:23.11,4:43.82,6:01.58,604
1:30.46,2:06.81,2:45.06,4:23.22,4:43.92,6:01.72,603
1:30.49,2:06.86,2:45.13,4:23.32,4:44.03,6:01.86,602
1:30.53,2:06.90,2:45.19,4:23.42,4:44.14,6:01.99,601
1:30.56,2:06.95,2:45.25,4:23.52,4:44.25,6:02.13,600
1:30.60,2:06.99,2:45.31,4:23.62,4:44.36,6:02.27,599
1:30.63,2:07.04,2:45.38,4:23.72,4:44.47,6:02.41,598
1:30.66,2:07.08,2:45.44,4:23.82,4:44.58,6:02.55,597
1:30.70,2:07.13,2:45.50,4:23.92,4:44.69,6:02.69,596
1:30.73,2:07.18,2:45.56,4:24.03,4:44.80,6:02.83,595
1:30.76,2:07.22,2:45.63,4:24.13,4:44.91,6:02.96,594
1:30.80,2:07.27,2:45.69,4:24.23,4:45.02,6:03.10,593
1:30.83,2:07.32,2:45.75,4:24.33,4:45.13,6:03.24,592
1:30.87,2:07.36,2:45.81,4:24.43,4:45.24,6:03.38,591
1:30.90,2:07.41,2:45.88,4:24.54,4:45.35,6:03.52,590
1:30.93,2:07.45,2:45.94,4:24.64,4:45.45,6:03.66,589
1:30.97,2:07.50,2:46.00,4:24.74,4:45.56,6:03.80,588
1:31.00,2:07.55,2:46.07,4:24.84,4:45.68,6:03.94,587
1:31.04,2:07.59,2:46.13,4:24.94,4:45.79,6:04.08,586
1:31.07,2:07.64,2:46.19,4:25.05,4:45.90,6:04.22,585
1:31.10,2:07.69,2:46.25,4:25.15,4:46.01,6:04.36,584
1:31.14,2:07.73,2:46.32,4:25.25,4:46.12,6:04.50,583
1:31.17,2:07.78,2:46.38,4:25.35,4:46.23,6:04.64,582
1:31.21,2:07.83,2:46.44,4:25.46,4:46.34,6:04.78,581
1:31.24,2:07.87,2:46.51,4:25.56,4:46.45,6:04.92,580
1:31.28,2:07.92,2:46.57,4:25.66,4:46.56,6:05.06,579
1:31.31,2:07.97,2:46.63,4:25.77,4:46.67,6:05.20,578
1:31.34,2:08.01,2:46.70,4:25.87,4:46.78,6:05.34,577
1:31.38,2:08.06,2:46.76,4:25.97,4:46.89,6:05.48,576
1:31.41,2:08.11,2:46.83,4:26.08,4:47.00,6:05.62,575
1:31.45,2:08.15,2:46.89,4:26.18,4:47.12,6:05.77,574
1:31.48,2:08.20,2:46.95,4:26.28,4:47.23,6:05.91,573
1:31.52,2:08.25,2:47.02,4:26.39,4:47.34,6:06.05,572
1:31.55,2:08.29,2:47.08,4:26.49,4:47.45,6:06.19,571
1:31.59,2:08.34,2:47.14,4:26.59,4:47.56,6:06.33,570
1:31.62,2:08.39,2:47.21,4:26.70,4:47.67,6:06.47,569
1:31.65,2:08.43,2:47.27,4:26.80,4:47.79,6:06.62,568
1:31.69,2:08.48,2:47.34,4:26.91,4:47.90,6:06.76,567
1:31.72,2:08.53,2:47.40,4:27.01,4:48.01,6:06.90,566
1:31.76,2:08.58,2:47.46,4:27.11,4:48.12,6:07.04,565
1:31.79,2:08.62,2:47.53,4:27.22,4:48.23,6:07.19,564
1:31.83,2:08.67,2:47.59,4:27.32,4:48.35,6:07.33,563
1:31.86,2:08.72,2:47.66,4:27.43,4:48.46,6:07.47,562
1:31.90,2:08.77,2:47.72,4:27.53,4:48.57,6:07.61,561
1:31.93,2:08.81,2:47.79,4:27.64,4:48.68,6:07.76,560
1:31.97,2:08.86,2:47.85,4:27.74,4:48.80,6:07.90,559
1:32.00,2:08.91,2:47.91,4:27.85,4:48.91,6:08.04,558
1:32.04,2:08.96,2:47.98,4:27.95,4:49.02,6:08.19,557
1:32.07,2:09.00,2:48.04,4:28.06,4:49.14,6:08.33,556
1:32.11,2:09.05,2:48.11,4:28.16,4:49.25,6:08.47,555
1:32.14,2:09.10,2:48.17,4:28.27,4:49.36,6:08.62,554
1:32.18,2:09.15,2:48.24,4:28.37,4:49.48,6:08.76,553
1:32.21,2:09.19,2:48.30,4:28.48,4:49.59,6:08.91,552
1:32.25,2:09.24,2:48.37,4:28.58,4:49.70,6:09.05,551
1:32.28,2:09.29,2:48.43,4:28.69,4:49.82,6:09.19,550
1:32.32,2:09.34,2:48.50,4:28.80,4:49.93,6:09.34,549
1:32.35,2:09.39,2:48.56,4:28.90,4:50.04,6:09.48,548
1:32.39,2:09.43,2:48.63,4:29.01,4:50.16,6:09.63,547
1:32.42,2:09.48,2:48.69,4:29.11,4:50.27,6:09.77,546
1:32.46,2:09.53,2:48.76,4:29.22,4:50.39,6:09.92,545
1:32.49,2:09.58,2:48.82,4:29.33,4:50.50,6:10.06,544
1:32.53,2:09.63,2:48.89,4:29.43,4:50.62,6:10.21,543
1:32.57,2:09.68,2:48.96,4:29.54,4:50.73,6:10.35,542
1:32.60,2:09.72,2:49.02,4:29.65,4:50.85,6:10.50,541
1:32.64,2:09.77,2:49.09,4:29.75,4:50.96,6:10.64,540
1:32.67,2:09.82,2:49.15,4:29.86,4:51.08,6:10.79,539
1:32.71,2:09.87,2:49.22,4:29.97,4:51.19,6:10.94,538
1:32.74,2:09.92,2:49.28,4:30.07,4:51.31,6:11.08,537
1:32.78,2:09.97,2:49.35,4:30.18,4:51.42,6:11.23,536
1:32.81,2:10.01,2:49.42,4:30.29,4:51.54,6:11.37,535
1:32.85,2:10.06,2:49.48,4:30.39,4:51.65,6:11.52,534
1:32.89,2:10.11,2:49.55,4:30.50,4:51.77,6:11.67,533
1:32.92,2:10.16,2:49.61,4:30.61,4:51.88,6:11.81,532
1:32.96,2:10.21,2:49.68,4:30.72,4:52.00,6:11.96,531
1:32.99,2:10.26,2:49.75,4:30.82,4:52.11,6:12.11,530
1:33.03,2:10.31,2:49.81,4:30.93,4:52.23,6:12.26,529
1:33.06,2:10.36,2:49.88,4:31.04,4:52.35,6:12.40,528
1:33.10,2:10.40,2:49.95,4:31.15,4:52.46,6:12.55,527
1:33.14,2:10.45,2:50.01,4:31.26,4:52.58,6:12.70,526
1:33.17,2:10.50,2:50.08,4:31.36,4:52.70,6:12.84,525
1:33.21,2:10.55,2:50.15,4:31.47,4:52.81,6:12.99,524
1:33.24,2:10.60,2:50.21,4:31.58,4:52.93,6:13.14,523
1:33.28,2:10.65,2:50.28,4:31.69,4:53.05,6:13.29,522
1:33.32,2:10.70,2:50.35,4:31.80,4:53.16,6:13.44,521
1:33.35,2:10.75,2:50.41,4:31.91,4:53.28,6:13.59,520
1:33.39,2:10.80,2:50.48,4:32.02,4:53.40,6:13.73,519
1:33.43,2:10.85,2:50.55,4:32.12,4:53.51,6:13.88,518
1:33.46,2:10.90,2:50.61,4:32.23,4:53.63,6:14.03,517
1:33.50,2:10.95,2:50.68,4:32.34,4:53.75,6:14.18,516
1:33.53,2:10.99,2:50.75,4:32.45,4:53.87,6:14.33,515
1:33.57,2:11.04,2:50.82,4:32.56,4:53.98,6:14.48,514
1:33.61,2:11.09,2:50.88,4:32.67,4:54.10,6:14.63,513
1:33.64,2:11.14,2:50.95,4:32.78,4:54.22,6:14.78,512
1:33.68,2:11.19,2:51.02,4:32.89,4:54.34,6:14.93,511
1:33.72,2:11.24,2:51.08,4:33.00,4:54.45,6:15.08,510
1:33.75,2:11.29,2:51.15,4:33.11,4:54.57,6:15.23,509
1:33.79,2:11.34,2:51.22,4:33.22,4:54.69,6:15.38,508
1:33.83,2:11.39,2:51.29,4:33.33,4:54.81,6:15.53,507
1:33.86,2:11.44,2:51.36,4:33.44,4:54.93,6:15.68,506
1:33.90,2:11.49,2:51.42,4:33.55,4:55.05,6:15.83,505
1:33.94,2:11.54,2:51.49,4:33.66,4:55.17,6:15.98,504
1:33.97,2:11.59,2:51.56,4:33.77,4:55.28,6:16.13,503
1:34.01,2:11.64,2:51.63,4:33.88,4:55.40,6:16.28,502
1:34.05,2:11.69,2:51.70,4:33.99,4:55.52,6:16.43,501
1:34.08,2:11.74,2:51.76,4:34.10,4:55.64,6:16.58,500
1:34.12,2:11.79,2:51.83,4:34.21,4:55.76,6:16.74,499
1:34.16,2:11.84,2:51.90,4:34.32,4:55.88,6:16.89,498
1:34.20,2:11.89,2:51.97,4:34.44,4:56.00,6:17.04,497
1:34.23,2:11.94,2:52.04,4:34.55,4:56.12,6:17.19,496
1:34.27,2:12.00,2:52.11,4:34.66,4:56.24,6:17.34,495
1:34.31,2:12.05,2:52.17,4:34.77,4:56.36,6:17.50,494
1:34.34,2:12.10,2:52.24,4:34.88,4:56.48,6:17.65,493
1:34.38,2:12.15,2:52.31,4:34.99,4:56.60,6:17.80,492
1:34.42,2:12.20,2:52.38,4:35.11,4:56.72,6:17.95,491
1:34.46,2:12.25,2:52.45,4:35.22,4:56.84,6:18.11,490
1:34.49,2:12.30,2:52.52,4:35.33,4:56.96,6:18.26,489
1:34.53,2:12.35,2:52.59,4:35.44,4:57.08,6:18.41,488
1:34.57,2:12.40,2:52.66,4:35.55,4:57.20,6:18.57,487
1:34.60,2:12.45,2:52.73,4:35.67,4:57.33,6:18.72,486
1:34.64,2:12.50,2:52.80,4:35.78,4:57.45,6:18.87,485
1:34.68,2:12.55,2:52.86,4:35.89,4:57.57,6:19.03,484
1:34.72,2:12.60,2:52.93,4:36.00,4:57.69,6:19.18,483
1:34.75,2:12.66,2:53.00,4:36.12,4:57.81,6:19.33,482
1:34.79,2:12.71,2:53.07,4:36.23,4:57.93,6:19.49,481
1:34.83,2:12.76,2:53.14,4:36.34,4:58.05,6:19.64,480
1:34.87,2:12.81,2:53.21,4:36.46,4:58.18,6:19.80,479
1:34.91,2:12.86,2:53.28,4:36.57,4:58.30,6:19.95,478
1:34.94,2:12.91,2:53.35,4:36.68,4:58.42,6:20.11,477
1:34.98,2:12.96,2:53.42,4:36.80,4:58.54,6:20.26,476
1:35.02,2:13.02,2:53.49,4:36.91,4:58.66,6:20.42,475
1:35.06,2:13.07,2:53.56,4:37.02,4:58.79,6:20.57,474
1:35.09,2:13.12,2:53.63,4:37.14,4:58.91,6:20.73,473
1:35.13,2:13.17,2:53.70,4:37.25,4:59.03,6:20.88,472
1:35.17,2:13.22,2:53.77,4:37.37,4:59.16,6:21.04,471
1:35.21,2:13.27,2:53.84,4:37.48,4:59.28,6:21.20,470
1:35.25,2:13.33,2:53.91,4:37.60,4:59.40,6:21.35,469
1:35.28,2:13.38,2:53.98,4:37.71,4:59.52,6:21.51,468
1:35.32,2:13.43,2:54.05,4:37.82,4:59.65,6:21.67,467
1:35.36,2:13.48,2:54.12,4:37.94,4:59.77,6:21.82,466
1:35.40,2:13.53,2:54.20,4:38.05,4:59.90,6:21.98,465
1:35.44,2:13.59,2:54.27,4:38.17,5:00.02,6:22.14,464
1:35.48,2:13.64,2:54.34,4:38.28,5:00.14,6:22.29,463
1:35.51,2:13.69,2:54.41,4:38.40,5:00.27,6:22.45,462
1:35.55,2:13.74,2:54.48,4:38.52,5:00.39,6:22.61,461
1:35.59,2:13.80,2:54.55,4:38.63,5:00.52,6:22.77,460
1:35.63,2:13.85,2:54.62,4:38.75,5:00.64,6:22.92,459
1:35.67,2:13.90,2:54.69,4:38.86,5:00.77,6:23.08,458
1:35.71,2:13.95,2:54.76,4:38.98,5:00.89,6:23.24,457
1:35.75,2:14.01,2:54.84,4:39.09,5:01.01,6:23.40,456
1:35.78,2:14.06,2:54.91,4:39.21,5:01.14,6:23.56,455
1:35.82,2:14.11,2:54.98,4:39.33,5:01.27,6:23.72,454
1:35.86,2:14.16,2:55.05,4:39.44,5:01.39,6:23.88,453
1:35.90,2:14.22,2:55.12,4:39.56,5:01.52,6:24.04,452
1:35.94,2:14.27,2:55.19,4:39.68,5:01.64,6:24.19,451
1:35.98,2:14.32,2:55.27,4:39.79,5:01.77,6:24.35,450
1:36.02,2:14.37,2:55.34,4:39.91,5:01.89,6:24.51,449
1:36.06,2:14.43,2:55.41,4:40.03,5:02.02,6:24.67,448
1:36.10,2:14.48,2:55.48,4:40.14,5:02.15,6:24.83,447
1:36.13,2:14.53,2:55.55,4:40.26,5:02.27,6:24.99,446
1:36.17,2:14.59,2:55.63,4:40.38,5:02.40,6:25.15,445
1:36.21,2:14.64,2:55.70,4:40.50,5:02.52,6:25.31,444
1:36.25,2:14.69,2:55.77,4:40.61,5:02.65,6:25.48,443
1:36.29,2:14.75,2:55.84,4:40.73,5:02.78,6:25.64,442
1:36.33,2:14.80,2:55.92,4:40.85,5:02.91,6:25.80,441
1:36.37,2:14.85,2:55.99,4:40.97,5:03.03,6:25.96,440
1:36.41,2:14.91,2:56.06,4:41.09,5:03.16,6:26.12,439
1:36.45,2:14.96,2:56.13,4:41.21,5:03.29,6:26.28,438
1:36.49,2:15.02,2:56.21,4:41.32,5:03.41,6:26.44,437
1:36.53,2:15.07,2:56.28,4:41.44,5:03.54,6:26.61,436
1:36.57,2:15.12,2:56.35,4:41.56,5:03.67,6:26.77,435
1:36.61,2:15.18,2:56.43,4:41.68,5:03.80,6:26.93,434
1:36.65,2:15.23,2:56.50,4:41.80,5:03.93,6:27.09,433
1:36.69,2:15.29,2:56.57,4:41.92,5:04.05,6:27.26,432
1:36.73,2:15.34,2:56.65,4:42.04,5:04.18,6:27.42,431
1:36.77,2:15.39,2:56.72,4:42.16,5:04.31,6:27.58,430
1:36.81,2:15.45,2:56.79,4:42.28,5:04.44,6:27.75,429
1:36.85,2:15.50,2:56.87,4:42.40,5:04.57,6:27.91,428
1:36.89,2:15.56,2:56.94,4:42.52,5:04.70,6:28.07,427
1:36.93,2:15.61,2:57.01,4:42.64,5:04.83,6:28.24,426
1:36.97,2:15.67,2:57.09,4:42.76,5:04.96,6:28.40,425
1:37.01,2:15.72,2:57.16,4:42.88,5:05.09,6:28.57,424
1:37.05,2:15.77,2:57.24,4:43.00,5:05.22,6:28.73,423
1:37.09,2:15.83,2:57.31,4:43.12,5:05.35,6:28.89,422
1:37.13,2:15.88,2:57.39,4:43.24,5:05.48,6:29.06,421
1:37.17,2:15.94,2:57.46,4:43.36,5:05.61,6:29.22,420
1:37.21,2:15.99,2:57.53,4:43.48,5:05.74,6:29.39,419
1:37.25,2:16.05,2:57.61,4:43.60,5:05.87,6:29.56,418
1:37.29,2:16.10,2:57.68,4:43.72,5:06.00,6:29.72,417
1:37.33,2:16.16,2:57.76,4:43.85,5:06.13,6:29.89,416
1:37.37,2:16.21,2:57.83,4:43.97,5:06.26,6:30.05,415
1:37.41,2:16.27,2:57.91,4:44.09,5:06.39,6:30.22,414
1:37.45,2:16.32,2:57.98,4:44.21,5:06.52,6:30.39,413
1:37.49,2:16.38,2:58.06,4:44.33,5:06.65,6:30.55,412
1:37.53,2:16.43,2:58.13,4:44.46,5:06.79,6:30.72,411
1:37.57,2:16.49,2:58.21,4:44.58,5:06.92,6:30.89,410
1:37.61,2:16.55,2:58.28,4:44.70,5:07.05,6:31.05,409
1:37.65,2:16.60,2:58.36,4:44.82,5:07.18,6:31.22,408
1:37.69,2:16.66,2:58.44,4:44.95,5:07.31,6:31.39,407
1:37.73,2:16.71,2:58.51,4:45.07,5:07.45,6:31.56,406
1:37.78,2:16.77,2:58.59,4:45.19,5:07.58,6:31.73,405
1:37.82,2:16.82,2:58.66,4:45.32,5:07.71,6:31.89,404
1:37.86,2:16.88,2:58.74,4:45.44,5:07.84,6:32.06,403
1:37.90,2:16.94,2:58.81,4:45.56,5:07.98,6:32.23,402
1:37.94,2:16.99,2:58.89,4:45.69,5:08.11,6:32.40,401
1:37.98,2:17.05,2:58.97,4:45.81,5:08.24,6:32.57,400
1:38.02,2:17.10,2:59.04,4:45.93,5:08.38,6:32.74,399
1:38.06,2:17.16,2:59.12,4:46.06,5:08.51,6:32.91,398
1:38.11,2:17.22,2:59.20,4:46.18,5:08.64,6:33.08,397
1:38.15,2:17.27,2:59.27,4:46.31,5:08.78,6:33.25,396
1:38.19,2:17.33,2:59.35,4:46.43,5:08.91,6:33.42,395
1:38.23,2:17.39,2:59.43,4:46.56,5:09.05,6:33.59,394
1:38.27,2:17.44,2:59.50,4:46.68,5:09.18,6:33.76,393
1:38.31,2:17.50,2:59.58,4:46.81,5:09.32,6:33.93,392
1:38.35,2:17.56,2:59.66,4:46.93,5:09.45,6:34.10,391
1:38.40,2:17.61,2:59.73,4:47.06,5:09.59,6:34.27,390
1:38.44,2:17.67,2:59.81,4:47.18,5:09.72,6:34.44,389
1:38.48,2:17.73,2:59.89,4:47.31,5:09.86,6:34.62,388
1:38.52,2:17.78,2:59.97,4:47.43,5:09.99,6:34.79,387
1:38.56,2:17.84,3:00.04,4:47.56,5:10.13,6:34.96,386
1:38.61,2:17.90,3:00.12,4:47.69,5:10.26,6:35.13,385
1:38.65,2:17.96,3:00.20,4:47.81,5:10.40,6:35.31,384
1:38.69,2:18.01,3:00.28,4:47.94,5:10.54,6:35.48,383
1:38.73,2:18.07,3:00.36,4:48.07,5:10.67,6:35.65,382
1:38.77,2:18.13,3:00.43,4:48.19,5:10.81,6:35.82,381
1:38.82,2:18.19,3:00.51,4:48.32,5:10.95,6:36.00,380
1:38.86,2:18.24,3:00.59,4:48.45,5:11.08,6:36.17,379
1:38.90,2:18.30,3:00.67,4:48.58,5:11.22,6:36.35,378
1:38.94,2:18.36,3:00.75,4:48.70,5:11.36,6:36.52,377
1:38.99,2:18.42,3:00.83,4:48.83,5:11.49,6:36.69,376
1:39.03,2:18.48,3:00.91,4:48.96,5:11.63,6:36.87,375
1:39.07,2:18.53,3:00.98,4:49.09,5:11.77,6:37.04,374
1:39.11,2:18.59,3:01.06,4:49.22,5:11.91,6:37.22,373
1:39.16,2:18.65,3:01.14,4:49.34,5:12.05,6:37.39,372
1:39.20,2:18.71,3:01.22,4:49.47,5:12.19,6:37.57,371
1:39.24,2:18.77,3:01.30,4:49.60,5:12.32,6:37.75,370
1:39.29,2:18.83,3:01.38,4:49.73,5:12.46,6:37.92,369
1:39.33,2:18.88,3:01.46,4:49.86,5:12.60,6:38.10,368
1:39.37,2:18.94,3:01.54,4:49.99,5:12.74,6:38.28,367
1:39.42,2:19.00,3:01.62,4:50.12,5:12.88,6:38.45,366
1:39.46,2:19.06,3:01.70,4:50.25,5:13.02,6:38.63,365
1:39.50,2:19.12,3:01.78,4:50.38,5:13.16,6:38.81,364
1:39.55,2:19.18,3:01.86,4:50.51,5:13.30,6:38.98,363
1:39.59,2:19.24,3:01.94,4:50.64,5:13.44,6:39.16,362
1:39.63,2:19.30,3:02.02,4:50.77,5:13.58,6:39.34,361
1:39.68,2:19.35,3:02.10,4:50.90,5:13.72,6:39.52,360
1:39.72,2:19.41,3:02.18,4:51.03,5:13.86,6:39.70,359
1:39.76,2:19.47,3:02.26,4:51.16,5:14.00,6:39.88,358
1:39.81,2:19.53,3:02.34,4:51.29,5:14.14,6:40.06,357
1:39.85,2:19.59,3:02.42,4:51.42,5:14.29,6:40.23,356
1:39.89,2:19.65,3:02.50,4:51.56,5:14.43,6:40.41,355
1:39.94,2:19.71,3:02.58,4:51.69,5:14.57,6:40.59,354
1:39.98,2:19.77,3:02.66,4:51.82,5:14.71,6:40.77,353
1:40.03,2:19.83,3:02.75,4:51.95,5:14.85,6:40.95,352
1:40.07,2:19.89,3:02.83,4:52.08,5:15.00,6:41.13,351
1:40.11,2:19.95,3:02.91,4:52.22,5:15.14,6:41.32,350
1:40.16,2:20.01,3:02.99,4:52.35,5:15.28,6:41.50,349
1:40.20,2:20.07,3:03.07,4:52.48,5:15.42,6:41.68,348
1:40.25,2:20.13,3:03.15,4:52.61,5:15.57,6:41.86,347
1:40.29,2:20.19,3:03.24,4:52.75,5:15.71,6:42.04,346
1:40.33,2:20.25,3:03.32,4:52.88,5:15.85,6:42.22,345
1:40.38,2:20.31,3:03.40,4:53.01,5:16.00,6:42.41,344
1:40.42,2:20.37,3:03.48,4:53.15,5:16.14,6:42.59,343
1:40.47,2:20.43,3:03.56,4:53.28,5:16.29,6:42.77,342
1:40.51,2:20.50,3:03.65,4:53.42,5:16.43,6:42.95,341
1:40.56,2:20.56,3:03.73,4:53.55,5:16.57,6:43.14,340
1:40.60,2:20.62,3:03.81,4:53.69,5:16.72,6:43.32,339
1:40.65,2:20.68,3:03.90,4:53.82,5:16.86,6:43.51,338
1:40.69,2:20.74,3:03.98,4:53.96,5:17.01,6:43.69,337
1:40.74,2:20.80,3:04.06,4:54.09,5:17.16,6:43.87,336
1:40.78,2:20.86,3:04.15,4:54.23,5:17.30,6:44.06,335
1:40.83,2:20.92,3:04.23,4:54.36,5:17.45,6:44.24,334
1:40.87,2:20.99,3:04.31,4:54.50,5:17.59,6:44.43,333
1:40.92,2:21.05,3:04.40,4:54.63,5:17.74,6:44.62,332
1:40.96,2:21.11,3:04.48,4:54.77,5:17.89,6:44.80,331
1:41.01,2:21.17,3:04.56,4:54.91,5:18.03,6:44.99,330
1:41.05,2:21.23,3:04.65,4:55.04,5:18.18,6:45.17,329
1:41.10,2:21.29,3:04.73,4:55.18,5:18.33,6:45.36,328
1:41.15,2:21.36,3:04.82,4:55.32,5:18.47,6:45.55,327
1:41.19,2:21.42,3:04.90,4:55.45,5:18.62,6:45.74,326
1:41.24,2:21.48,3:04.99,4:55.59,5:18.77,6:45.92,325
1:41.28,2:21.54,3:05.07,4:55.73,5:18.92,6:46.11,324
1:41.33,2:21.61,3:05.15,4:55.87,5:19.07,6:46.30,323
1:41.37,2:21.67,3:05.24,4:56.00,5:19.22,6:46.49,322
1:41.42,2:21.73,3:05.32,4:56.14,5:19.36,6:46.68,321
1:41.47,2:21.79,3:05.41,4:56.28,5:19.51,6:46.87,320
1:41.51,2:21.86,3:05.50,4:56.42,5:19.66,6:47.06,319
1:41.56,2:21.92,3:05.58,4:56.56,5:19.81,6:47.25,318
1:41.61,2:21.98,3:05.67,4:56.70,5:19.96,6:47.44,317
1:41.65,2:22.05,3:05.75,4:56.84,5:20.11,6:47.63,316
1:41.70,2:22.11,3:05.84,4:56.98,5:20.26,6:47.82,315
1:41.74,2:22.17,3:05.92,4:57.12,5:20.41,6:48.01,314
1:41.79,2:22.24,3:06.01,4:57.26,5:20.56,6:48.20,313
1:41.84,2:22.30,3:06.10,4:57.40,5:20.71,6:48.39,312
1:41.88,2:22.36,3:06.18,4:57.54,5:20.87,6:48.58,311
