100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
9.84,12.96,,30.93,43.84,47.42,37.54,1:18.88,2:55.54,1262
,,19.74,30.94,43.85,47.44,37.55,1:18.91,2:55.60,1261
,12.97,19.75,30.96,43.87,47.46,37.57,1:18.93,2:55.66,1260
9.85,,,30.97,43.88,47.48,37.58,1:18.96,2:55.72,1259
,12.98,19.76,30.98,43.89,47.49,37.59,1:18.99,2:55.79,1258
,,,30.99,43.91,47.51,37.60,1:19.01,2:55.85,1257
,12.99,19.77,31.00,43.92,47.53,37.62,1:19.04,2:55.91,1256
9.86,13.00,19.78,31.01,43.94,47.55,37.63,1:19.06,2:55.98,1255
,,,31.02,43.95,47.57,37.64,1:19.09,2:56.04,1254
,13.01,19.79,31.03,43.96,47.59,37.66,1:19.12,2:56.10,1253
9.87,,19.80,31.04,43.98,47.61,37.67,1:19.14,2:56.16,1252
,13.02,,31.05,43.99,47.63,37.68,1:19.17,2:56.23,1251
,,19.81,31.06,44.01,47.65,37.69,1:19.19,2:56.29,1250
,13.03,,31.07,44.02,47.67,37.71,1:19.22,2:56.35,1249
9.88,,19.82,31.08,44.03,47.69,37.72,1:19.25,2:56.42,1248
,13.04,19.83,31.09,44.05,47.71,37.73,1:19.27,2:56.48,1247
,,,31.10,44.06,47.72,37.74,1:19.30,2:56.54,1246
9.89,13.05,19.84,31.11,44.08,47.74,37.76,1:19.32,2:56.61,1245
,,19.85,31.12,44.09,47.76,37.77,1:19.35,2:56.67,1244
,13.06,,31.13,44.10,47.78,37.78,1:19.37,2:56.73,1243
,,19.86,31.14,44.12,47.80,37.80,1:19.40,2:56.80,1242
9.90,13.07,19.87,31.15,44.13,47.82,37.81,1:19.43,2:56.86,1241
,,,31.16,44.15,47.84,37.82,1:19.45,2:56.92,1240
,13.08,19.88,31.17,44.16,47.86,37.83,1:19.48,2:56.99,1239
9.91,,,31.19,44.17,47.88,37.85,1:19.50,2:57.05,1238
,13.09,19.89,31.20,44.19,47.90,37.86,1:19.53,2:57.11,1237
,,19.90,31.21,44.20,47.92,37.87,1:19.56,2:57.18,1236
,13.10,,31.22,44.22,47.94,37.89,1:19.58,2:57.24,1235
9.92,,19.91,31.23,44.23,47.95,37.90,1:19.61,2:57.30,1234
,13.11,19.92,31.24,44.24,47.97,37.91,1:19.64,2:57.37,1233
,,,31.25,44.26,47.99,37.92,1:19.66,2:57.43,1232
9.93,13.12,19.93,31.26,44.27,48.01,37.94,1:19.69,2:57.49,1231
,,,31.27,44.29,48.03,37.95,1:19.71,2:57.56,1230
,13.13,19.94,31.28,44.30,48.05,37.96,1:19.74,2:57.62,1229
,,19.95,31.29,44.31,48.07,37.97,1:19.77,2:57.68,1228
9.94,13.14,,31.30,44.33,48.09,37.99,1:19.79,2:57.75,1227
,,19.96,31.31,44.34,48.11,38.00,1:19.82,2:57.81,1226
,13.15,19.97,31.32,44.36,48.13,38.01,1:19.84,2:57.88,1225
9.95,,,31.33,44.37,48.15,38.03,1:19.87,2:57.94,1224
,13.16,19.98,31.34,44.39,48.17,38.04,1:19.90,2:58.00,1223
,,19.99,31.35,44.40,48.19,38.05,1:19.92,2:58.07,1222
,13.17,,31.36,44.41,48.21,38.06,1:19.95,2:58.13,1221
9.96,,20.00,31.38,44.43,48.23,38.08,1:19.98,2:58.19,1220
