100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
11.75,16.39,23.94,37.95,53.23,1:00.26,46.07,1:36.27,3:37.85,678
,,23.95,37.96,53.24,1:00.28,46.09,1:36.31,3:37.93,677
11.76,16.40,23.96,37.98,53.26,1:00.31,46.11,1:36.34,3:38.02,676
,16.41,23.97,37.99,53.28,1:00.33,46.13,1:36.38,3:38.11,675
,,23.98,38.00,53.30,1:00.36,46.14,1:36.41,3:38.19,674
11.77,16.42,,38.02,53.32,1:00.39,46.16,1:36.45,3:38.28,673
,16.43,23.99,38.03,53.34,1:00.41,46.18,1:36.48,3:38.36,672
11.78,16.44,24.00,38.05,53.36,1:00.44,46.20,1:36.52,3:38.45,671
,,24.01,38.06,53.38,1:00.46,46.21,1:36.55,3:38.54,670
,16.45,24.02,38.08,53.40,1:00.49,46.23,1:36.59,3:38.62,669
11.79,16.46,24.03,38.09,53.42,1:00.52,46.25,1:36.62,3:38.71,668
,,24.04,38.10,53.44,1:00.54,46.26,1:36.66,3:38.80,667
,16.47,24.05,38.12,53.45,1:00.57,46.28,1:36.69,3:38.88,666
11.80,16.48,,38.13,53.47,1:00.60,46.30,1:36.73,3:38.97,665
,,24.06,38.15,53.49,1:00.62,46.32,1:36.77,3:39.05,664
11.81,16.49,24.07,38.16,53.51,1:00.65,46.33,1:36.80,3:39.14,663
,16.50,24.08,38.18,53.53,1:00.67,46.35,1:36.84,3:39.23,662
,16.51,24.09,38.19,53.55,1:00.70,46.37,1:36.87,3:39.31,661
11.82,,24.10,38.20,53.57,1:00.73,46.39,1:36.91,3:39.40,660
,16.52,24.11,38.22,53.59,1:00.75,46.40,1:36.94,3:39.49,659
11.83,16.53,,38.23,53.61,1:00.78,46.42,1:36.98,3:39.58,658
,,24.12,38.25,53.63,1:00.81,46.44,1:37.01,3:39.66,657
,16.54,24.13,38.26,53.65,1:00.83,46.46,1:37.05,3:39.75,656
11.84,16.55,24.14,38.28,53.67,1:00.86,46.47,1:37.09,3:39.84,655
,,24.15,38.29,53.69,1:00.89,46.49,1:37.12,3:39.92,654
11.85,16.56,24.16,38.31,53.71,1:00.91,46.51,1:37.16,3:40.01,653
,16.57,24.17,38.32,53.72,1:00.94,46.53,1:37.19,3:40.10,652
,16.58,,38.33,53.74,1:00.97,46.55,1:37.23,3:40.19,651
11.86,,24.18,38.35,53.76,1:00.99,46.56,1:37.27,3:40.27,650
,16.59,24.19,38.36,53.78,1:01.02,46.58,1:37.30,3:40.36,649
11.87,16.60,24.20,38.38,53.80,1:01.04,46.60,1:37.34,3:40.45,648
,,24.21,38.39,53.82,1:01.07,46.62,1:37.37,3:40.54,647
,16.61,24.22,38.41,53.84,1:01.10,46.63,1:37.41,3:40.62,646
11.88,16.62,24.23,38.42,53.86,1:01.12,46.65,1:37.45,3:40.71,645
,16.63,24.24,38.44,53.88,1:01.15,46.67,1:37.48,3:40.80,644
11.89,,,38.45,53.90,1:01.18,46.69,1:37.52,3:40.89,643
,16.64,24.25,38.46,53.92,1:01.20,46.70,1:37.55,3:40.97,642
,16.65,24.26,38.48,53.94,1:01.23,46.72,1:37.59,3:41.06,641
11.90,,24.27,38.49,53.96,1:01.26,46.74,1:37.63,3:41.15,640
,16.66,24.28,38.51,53.98,1:01.28,46.76,1:37.66,3:41.24,639
11.91,16.67,24.29,38.52,54.00,1:01.31,46.78,1:37.70,3:41.33,638
,16.68,24.30,38.54,54.02,1:01.34,46.79,1:37.74,3:41.42,637
,,24.31,38.55,54.04,1:01.37,46.81,1:37.77,3:41.50,636
11.92,16.69,,38.57,54.06,1:01.39,46.83,1:37.81,3:41.59,635
,16.70,24.32,38.58,54.08,1:01.42,46.85,1:37.84,3:41.68,634
11.93,,24.33,38.60,54.10,1:01.45,46.86,1:37.88,3:41.77,633
,16.71,24.34,38.61,54.12,1:01.47,46.88,1:37.92,3:41.86,632
,16.72,24.35,38.63,54.13,1:01.50,46.90,1:37.95,3:41.95,631
11.94,16.73,24.36,38.64,54.15,1:01.53,46.92,1:37.99,3:42.04,630
,,24.37,38.66,54.17,1:01.55,46.94,1:38.03,3:42.12,629
11.95,16.74,24.38,38.67,54.19,1:01.58,46.95,1:38.06,3:42.21,628
,16.75,24.39,38.68,54.21,1:01.61,46.97,1:38.10,3:42.30,627
,,,38.70,54.23,1:01.63,46.99,1:38.14,3:42.39,626
11.96,16.76,24.40,38.71,54.25,1:01.66,47.01,1:38.17,3:42.48,625
,16.77,24.41,38.73,54.27,1:01.69,47.03,1:38.21,3:42.57,624
11.97,16.78,24.42,38.74,54.29,1:01.72,47.04,1:38.25,3:42.66,623
,,24.43,38.76,54.31,1:01.74,47.06,1:38.28,3:42.75,622
,16.79,24.44,38.77,54.33,1:01.77,47.08,1:38.32,3:42.84,621
11.98,16.80,24.45,38.79,54.35,1:01.80,47.10,1:38.36,3:42.93,620
,16.81,24.46,38.80,54.37,1:01.82,47.12,1:38.39,3:43.02,619
11.99,,24.47,38.82,54.39,1:01.85,47.13,1:38.43,3:43.11,618
,16.82,,38.83,54.41,1:01.88,47.15,1:38.47,3:43.20,617
,16.83,24.48,38.85,54.43,1:01.91,47.17,1:38.50,3:43.29,616
12.00,,24.49,38.86,54.45,1:01.93,47.19,1:38.54,3:43.38,615
,16.84,24.50,38.88,54.47,1:01.96,47.21,1:38.58,3:43.47,614
12.01,16.85,24.51,38.89,54.49,1:01.99,47.22,1:38.62,3:43.56,613
,16.86,24.52,38.91,54.51,1:02.02,47.24,1:38.65,3:43.65,612
,,24.53,38.92,54.53,1:02.04,47.26,1:38.69,3:43.74,611
12.02,16.87,24.54,38.94,54.55,1:02.07,47.28,1:38.73,3:43.83,610
,16.88,24.55,38.95,54.57,1:02.10,47.30,1:38.76,3:43.92,609
12.03,16.89,,38.97,54.59,1:02.13,47.32,1:38.80,3:44.01,608
,,24.56,38.98,54.61,1:02.15,47.33,1:38.84,3:44.10,607
,16.90,24.57,39.00,54.63,1:02.18,47.35,1:38.88,3:44.19,606
12.04,16.91,24.58,39.01,54.65,1:02.21,47.37,1:38.91,3:44.28,605
,16.92,24.59,39.03,54.67,1:02.24,47.39,1:38.95,3:44.37,604
12.05,,24.60,39.04,54.69,1:02.26,47.41,1:38.99,3:44.46,603
,16.93,24.61,39.06,54.71,1:02.29,47.43,1:39.02,3:44.55,602
12.06,16.94,24.62,39.07,54.73,1:02.32,47.44,1:39.06,3:44.64,601
,,24.63,39.09,54.75,1:02.35,47.46,1:39.10,3:44.73,600
,16.95,24.64,39.10,54.77,1:02.37,47.48,1:39.14,3:44.83,599
12.07,16.96,24.65,39.12,54.79,1:02.40,47.50,1:39.17,3:44.92,598
,16.97,,39.13,54.81,1:02.43,47.52,1:39.21,3:45.01,597
12.08,,24.66,39.15,54.83,1:02.46,47.54,1:39.25,3:45.10,596
,16.98,24.67,39.16,54.85,1:02.48,47.55,1:39.29,3:45.19,595
,16.99,24.68,39.18,54.87,1:02.51,47.57,1:39.32,3:45.28,594
12.09,17.00,24.69,39.19,54.90,1:02.54,47.59,1:39.36,3:45.37,593
,,24.70,39.21,54.92,1:02.57,47.61,1:39.40,3:45.47,592
12.10,17.01,24.71,39.22,54.94,1:02.59,47.63,1:39.44,3:45.56,591
,17.02,24.72,39.24,54.96,1:02.62,47.65,1:39.47,3:45.65,590
,17.03,24.73,39.25,54.98,1:02.65,47.67,1:39.51,3:45.74,589
12.11,,24.74,39.27,55.00,1:02.68,47.68,1:39.55,3:45.83,588
,17.04,24.75,39.29,55.02,1:02.71,47.70,1:39.59,3:45.92,587
12.12,17.05,,39.30,55.04,1:02.73,47.72,1:39.63,3:46.02,586
,17.06,24.76,39.32,55.06,1:02.76,47.74,1:39.66,3:46.11,585
12.13,,24.77,39.33,55.08,1:02.79,47.76,1:39.70,3:46.20,584
,17.07,24.78,39.35,55.10,1:02.82,47.78,1:39.74,3:46.29,583
,17.08,24.79,39.36,55.12,1:02.85,47.80,1:39.78,3:46.39,582
12.14,17.09,24.80,39.38,55.14,1:02.87,47.81,1:39.82,3:46.48,581
,,24.81,39.39,55.16,1:02.90,47.83,1:39.85,3:46.57,580
12.15,17.10,24.82,39.41,55.18,1:02.93,47.85,1:39.89,3:46.66,579
,17.11,24.83,39.42,55.20,1:02.96,47.87,1:39.93,3:46.76,578
,17.12,24.84,39.44,55.22,1:02.99,47.89,1:39.97,3:46.85,577
12.16,,24.85,39.45,55.24,1:03.02,47.91,1:40.01,3:46.94,576
,17.13,24.86,39.47,55.26,1:03.04,47.93,1:40.04,3:47.03,575
12.17,17.14,24.87,39.48,55.28,1:03.07,47.95,1:40.08,3:47.13,574
,17.15,,39.50,55.31,1:03.10,47.96,1:40.12,3:47.22,573
12.18,,24.88,39.52,55.33,1:03.13,47.98,1:40.16,3:47.31,572
,17.16,24.89,39.53,55.35,1:03.16,48.00,1:40.20,3:47.41,571
,17.17,24.90,39.55,55.37,1:03.18,48.02,1:40.24,3:47.50,570
12.19,17.18,24.91,39.56,55.39,1:03.21,48.04,1:40.27,3:47.59,569
,,24.92,39.58,55.41,1:03.24,48.06,1:40.31,3:47.69,568
12.20,17.19,24.93,39.59,55.43,1:03.27,48.08,1:40.35,3:47.78,567
,17.20,24.94,39.61,55.45,1:03.30,48.10,1:40.39,3:47.88,566
12.21,17.21,24.95,39.62,55.47,1:03.33,48.11,1:40.43,3:47.97,565
,,24.96,39.64,55.49,1:03.36,48.13,1:40.47,3:48.06,564
,17.22,24.97,39.66,55.51,1:03.38,48.15,1:40.51,3:48.16,563
12.22,17.23,24.98,39.67,55.53,1:03.41,48.17,1:40.54,3:48.25,562
,17.24,24.99,39.69,55.55,1:03.44,48.19,1:40.58,3:48.34,561
12.23,,25.00,39.70,55.58,1:03.47,48.21,1:40.62,3:48.44,560
,17.25,25.01,39.72,55.60,1:03.50,48.23,1:40.66,3:48.53,559
12.24,17.26,,39.73,55.62,1:03.53,48.25,1:40.70,3:48.63,558
,17.27,25.02,39.75,55.64,1:03.56,48.27,1:40.74,3:48.72,557
,17.28,25.03,39.76,55.66,1:03.58,48.29,1:40.78,3:48.82,556
12.25,,25.04,39.78,55.68,1:03.61,48.30,1:40.82,3:48.91,555
,17.29,25.05,39.80,55.70,1:03.64,48.32,1:40.85,3:49.01,554
12.26,17.30,25.06,39.81,55.72,1:03.67,48.34,1:40.89,3:49.10,553
,17.31,25.07,39.83,55.74,1:03.70,48.36,1:40.93,3:49.20,552
12.27,,25.08,39.84,55.76,1:03.73,48.38,1:40.97,3:49.29,551
,17.32,25.09,39.86,55.79,1:03.76,48.40,1:41.01,3:49.39,550
,17.33,25.10,39.87,55.81,1:03.79,48.42,1:41.05,3:49.48,549
12.28,17.34,25.11,39.89,55.83,1:03.81,48.44,1:41.09,3:49.58,548
,,25.12,39.91,55.85,1:03.84,48.46,1:41.13,3:49.67,547
12.29,17.35,25.13,39.92,55.87,1:03.87,48.48,1:41.17,3:49.77,546
,17.36,25.14,39.94,55.89,1:03.90,48.50,1:41.21,3:49.86,545
12.30,17.37,25.15,39.95,55.91,1:03.93,48.52,1:41.25,3:49.96,544
,17.38,25.16,39.97,55.93,1:03.96,48.54,1:41.28,3:50.05,543
,,25.17,39.99,55.95,1:03.99,48.55,1:41.32,3:50.15,542
12.31,17.39,25.18,40.00,55.98,1:04.02,48.57,1:41.36,3:50.25,541
,17.40,,40.02,56.00,1:04.05,48.59,1:41.40,3:50.34,540
12.32,17.41,25.19,40.03,56.02,1:04.08,48.61,1:41.44,3:50.44,539
,,25.20,40.05,56.04,1:04.10,48.63,1:41.48,3:50.53,538
12.33,17.42,25.21,40.06,56.06,1:04.13,48.65,1:41.52,3:50.63,537
,17.43,25.22,40.08,56.08,1:04.16,48.67,1:41.56,3:50.73,536
,17.44,25.23,40.10,56.10,1:04.19,48.69,1:41.60,3:50.82,535
12.34,17.45,25.24,40.11,56.13,1:04.22,48.71,1:41.64,3:50.92,534
,,25.25,40.13,56.15,1:04.25,48.73,1:41.68,3:51.02,533
12.35,17.46,25.26,40.14,56.17,1:04.28,48.75,1:41.72,3:51.11,532
,17.47,25.27,40.16,56.19,1:04.31,48.77,1:41.76,3:51.21,531
12.36,17.48,25.28,40.18,56.21,1:04.34,48.79,1:41.80,3:51.31,530
,,25.29,40.19,56.23,1:04.37,48.81,1:41.84,3:51.40,529
,17.49,25.30,40.21,56.25,1:04.40,48.83,1:41.88,3:51.50,528
12.37,17.50,25.31,40.23,56.28,1:04.43,48.85,1:41.92,3:51.60,527
,17.51,25.32,40.24,56.30,1:04.46,48.87,1:41.96,3:51.69,526
12.38,17.52,25.33,40.26,56.32,1:04.49,48.89,1:42.00,3:51.79,525
,,25.34,40.27,56.34,1:04.52,48.90,1:42.04,3:51.89,524
12.39,17.53,25.35,40.29,56.36,1:04.55,48.92,1:42.08,3:51.99,523
,17.54,25.36,40.31,56.38,1:04.58,48.94,1:42.12,3:52.08,522
12.40,17.55,25.37,40.32,56.41,1:04.60,48.96,1:42.16,3:52.18,521
,17.56,25.38,40.34,56.43,1:04.63,48.98,1:42.20,3:52.28,520
,,25.39,40.35,56.45,1:04.66,49.00,1:42.24,3:52.38,519
12.41,17.57,25.40,40.37,56.47,1:04.69,49.02,1:42.28,3:52.47,518
,17.58,25.41,40.39,56.49,1:04.72,49.04,1:42.32,3:52.57,517
12.42,17.59,25.42,40.40,56.51,1:04.75,49.06,1:42.36,3:52.67,516
,17.60,25.43,40.42,56.54,1:04.78,49.08,1:42.40,3:52.77,515
12.43,,25.44,40.44,56.56,1:04.81,49.10,1:42.44,3:52.87,514
,17.61,25.45,40.45,56.58,1:04.84,49.12,1:42.48,3:52.97,513
12.44,17.62,25.46,40.47,56.60,1:04.87,49.14,1:42.52,3:53.06,512
,17.63,25.47,40.48,56.62,1:04.90,49.16,1:42.56,3:53.16,511
,17.64,25.48,40.50,56.65,1:04.93,49.18,1:42.60,3:53.26,510
12.45,,25.49,40.52,56.67,1:04.96,49.20,1:42.64,3:53.36,509
,17.65,25.50,40.53,56.69,1:04.99,49.22,1:42.68,3:53.46,508
12.46,17.66,,40.55,56.71,1:05.02,49.24,1:42.72,3:53.56,507
,17.67,25.51,40.57,56.73,1:05.05,49.26,1:42.77,3:53.66,506
12.47,17.68,25.52,40.58,56.76,1:05.08,49.28,1:42.81,3:53.76,505
,,25.53,40.60,56.78,1:05.11,49.30,1:42.85,3:53.86,504
12.48,17.69,25.54,40.62,56.80,1:05.14,49.32,1:42.89,3:53.96,503
,17.70,25.55,40.63,56.82,1:05.17,49.34,1:42.93,3:54.05,502
,17.71,25.56,40.65,56.84,1:05.20,49.36,1:42.97,3:54.15,501
12.49,17.72,25.57,40.67,56.87,1:05.23,49.38,1:43.01,3:54.25,500
,,25.58,40.68,56.89,1:05.26,49.40,1:43.05,3:54.35,499
12.50,17.73,25.59,40.70,56.91,1:05.29,49.42,1:43.09,3:54.45,498
,17.74,25.60,40.72,56.93,1:05.32,49.44,1:43.13,3:54.55,497
12.51,17.75,25.61,40.73,56.95,1:05.35,49.46,1:43.17,3:54.65,496
,17.76,25.62,40.75,56.98,1:05.39,49.48,1:43.22,3:54.75,495
12.52,,25.63,40.76,57.00,1:05.42,49.50,1:43.26,3:54.85,494
,17.77,25.64,40.78,57.02,1:05.45,49.52,1:43.30,3:54.95,493
12.53,17.78,25.65,40.80,57.04,1:05.48,49.54,1:43.34,3:55.06,492
,17.79,25.66,40.81,57.07,1:05.51,49.56,1:43.38,3:55.16,491
,17.80,25.67,40.83,57.09,1:05.54,49.58,1:43.42,3:55.26,490
12.54,17.81,25.68,40.85,57.11,1:05.57,49.60,1:43.46,3:55.36,489
,,25.69,40.87,57.13,1:05.60,49.62,1:43.51,3:55.46,488
12.55,17.82,25.70,40.88,57.16,1:05.63,49.65,1:43.55,3:55.56,487
,17.83,25.71,40.90,57.18,1:05.66,49.67,1:43.59,3:55.66,486
12.56,17.84,25.72,40.92,57.20,1:05.69,49.69,1:43.63,3:55.76,485
,17.85,25.73,40.93,57.22,1:05.72,49.71,1:43.67,3:55.86,484
12.57,,25.74,40.95,57.24,1:05.75,49.73,1:43.71,3:55.96,483
,17.86,25.75,40.97,57.27,1:05.78,49.75,1:43.76,3:56.07,482
12.58,17.87,25.76,40.98,57.29,1:05.81,49.77,1:43.80,3:56.17,481
,17.88,25.77,41.00,57.31,1:05.85,49.79,1:43.84,3:56.27,480
12.59,17.89,25.78,41.02,57.34,1:05.88,49.81,1:43.88,3:56.37,479
,17.90,25.79,41.03,57.36,1:05.91,49.83,1:43.92,3:56.47,478
,,25.80,41.05,57.38,1:05.94,49.85,1:43.96,3:56.58,477
12.60,17.91,25.82,41.07,57.40,1:05.97,49.87,1:44.01,3:56.68,476
,17.92,25.83,41.08,57.43,1:06.00,49.89,1:44.05,3:56.78,475
12.61,17.93,25.84,41.10,57.45,1:06.03,49.91,1:44.09,3:56.88,474
,17.94,25.85,41.12,57.47,1:06.06,49.93,1:44.13,3:56.98,473
12.62,17.95,25.86,41.14,57.49,1:06.09,49.95,1:44.17,3:57.09,472
,,25.87,41.15,57.52,1:06.12,49.97,1:44.22,3:57.19,471
12.63,17.96,25.88,41.17,57.54,1:06.16,49.99,1:44.26,3:57.29,470
,17.97,25.89,41.19,57.56,1:06.19,50.02,1:44.30,3:57.40,469
12.64,17.98,25.90,41.20,57.59,1:06.22,50.04,1:44.34,3:57.50,468
,17.99,25.91,41.22,57.61,1:06.25,50.06,1:44.39,3:57.60,467
12.65,18.00,25.92,41.24,57.63,1:06.28,50.08,1:44.43,3:57.70,466
,,25.93,41.25,57.65,1:06.31,50.10,1:44.47,3:57.81,465
,18.01,25.94,41.27,57.68,1:06.34,50.12,1:44.51,3:57.91,464
12.66,18.02,25.95,41.29,57.70,1:06.37,50.14,1:44.56,3:58.02,463
,18.03,25.96,41.31,57.72,1:06.41,50.16,1:44.60,3:58.12,462
12.67,18.04,25.97,41.32,57.75,1:06.44,50.18,1:44.64,3:58.22,461
,18.05,25.98,41.34,57.77,1:06.47,50.20,1:44.68,3:58.33,460
12.68,,25.99,41.36,57.79,1:06.50,50.22,1:44.73,3:58.43,459
,18.06,26.00,41.37,57.82,1:06.53,50.25,1:44.77,3:58.53,458
12.69,18.07,26.01,41.39,57.84,1:06.56,50.27,1:44.81,3:58.64,457
,18.08,26.02,41.41,57.86,1:06.60,50.29,1:44.86,3:58.74,456
12.70,18.09,26.03,41.43,57.88,1:06.63,50.31,1:44.90,3:58.85,455
,18.10,26.04,41.44,57.91,1:06.66,50.33,1:44.94,3:58.95,454
12.71,,26.05,41.46,57.93,1:06.69,50.35,1:44.98,3:59.06,453
,18.11,26.06,41.48,57.95,1:06.72,50.37,1:45.03,3:59.16,452
12.72,18.12,26.07,41.50,57.98,1:06.75,50.39,1:45.07,3:59.27,451
,18.13,26.08,41.51,58.00,1:06.79,50.41,1:45.11,3:59.37,450
12.73,18.14,26.09,41.53,58.02,1:06.82,50.44,1:45.16,3:59.48,449
,18.15,26.10,41.55,58.05,1:06.85,50.46,1:45.20,3:59.58,448
,18.16,26.11,41.57,58.07,1:06.88,50.48,1:45.24,3:59.69,447
12.74,,26.13,41.58,58.09,1:06.91,50.50,1:45.29,3:59.79,446
,18.17,26.14,41.60,58.12,1:06.95,50.52,1:45.33,3:59.90,445
12.75,18.18,26.15,41.62,58.14,1:06.98,50.54,1:45.37,4:00.01,444
,18.19,26.16,41.64,58.17,1:07.01,50.56,1:45.42,4:00.11,443
12.76,18.20,26.17,41.65,58.19,1:07.04,50.58,1:45.46,4:00.22,442
,18.21,26.18,41.67,58.21,1:07.08,50.61,1:45.50,4:00.32,441
12.77,18.22,26.19,41.69,58.24,1:07.11,50.63,1:45.55,4:00.43,440
,,26.20,41.71,58.26,1:07.14,50.65,1:45.59,4:00.54,439
12.78,18.23,26.21,41.72,58.28,1:07.17,50.67,1:45.64,4:00.64,438
,18.24,26.22,41.74,58.31,1:07.20,50.69,1:45.68,4:00.75,437
12.79,18.25,26.23,41.76,58.33,1:07.24,50.71,1:45.72,4:00.86,436
,18.26,26.24,41.78,58.35,1:07.27,50.73,1:45.77,4:00.96,435
12.80,18.27,26.25,41.80,58.38,1:07.30,50.76,1:45.81,4:01.07,434
,18.28,26.26,41.81,58.40,1:07.33,50.78,1:45.86,4:01.18,433
12.81,18.29,26.27,41.83,58.43,1:07.37,50.80,1:45.90,4:01.28,432
,,26.28,41.85,58.45,1:07.40,50.82,1:45.94,4:01.39,431
12.82,18.30,26.29,41.87,58.47,1:07.43,50.84,1:45.99,4:01.50,430
,18.31,26.31,41.88,58.50,1:07.46,50.86,1:46.03,4:01.61,429
12.83,18.32,26.32,41.90,58.52,1:07.50,50.89,1:46.08,4:01.71,428
,18.33,26.33,41.92,58.54,1:07.53,50.91,1:46.12,4:01.82,427
12.84,18.34,26.34,41.94,58.57,1:07.56,50.93,1:46.16,4:01.93,426
,18.35,26.35,41.96,58.59,1:07.60,50.95,1:46.21,4:02.04,425
12.85,18.36,26.36,41.97,58.62,1:07.63,50.97,1:46.25,4:02.15,424
,,26.37,41.99,58.64,1:07.66,51.00,1:46.30,4:02.25,423
12.86,18.37,26.38,42.01,58.66,1:07.69,51.02,1:46.34,4:02.36,422
,18.38,26.39,42.03,58.69,1:07.73,51.04,1:46.39,4:02.47,421
12.87,18.39,26.40,42.05,58.71,1:07.76,51.06,1:46.43,4:02.58,420
,18.40,26.41,42.06,58.74,1:07.79,51.08,1:46.48,4:02.69,419
12.88,18.41,26.42,42.08,58.76,1:07.83,51.11,1:46.52,4:02.80,418
,18.42,26.43,42.10,58.79,1:07.86,51.13,1:46.57,4:02.91,417
12.89,18.43,26.45,42.12,58.81,1:07.89,51.15,1:46.61,4:03.02,416
,,26.46,42.14,58.83,1:07.93,51.17,1:46.66,4:03.13,415
12.90,18.44,26.47,42.15,58.86,1:07.96,51.19,1:46.70,4:03.24,414
,18.45,26.48,42.17,58.88,1:07.99,51.22,1:46.75,4:03.35,413
12.91,18.46,26.49,42.19,58.91,1:08.03,51.24,1:46.79,4:03.46,412
,18.47,26.50,42.21,58.93,1:08.06,51.26,1:46.84,4:03.57,411
12.92,18.48,26.51,42.23,58.96,1:08.09,51.28,1:46.88,4:03.68,410
,18.49,26.52,42.25,58.98,1:08.13,51.30,1:46.93,4:03.79,409
,18.50,26.53,42.26,59.00,1:08.16,51.33,1:46.97,4:03.90,408
12.93,18.51,26.54,42.28,59.03,1:08.19,51.35,1:47.02,4:04.01,407
,,26.56,42.30,59.05,1:08.23,51.37,1:47.06,4:04.12,406
12.94,18.52,26.57,42.32,59.08,1:08.26,51.39,1:47.11,4:04.23,405
,18.53,26.58,42.34,59.10,1:08.29,51.42,1:47.15,4:04.34,404
12.95,18.54,26.59,42.36,59.13,1:08.33,51.44,1:47.20,4:04.45,403
12.96,18.55,26.60,42.37,59.15,1:08.36,51.46,1:47.25,4:04.56,402
,18.56,26.61,42.39,59.18,1:08.39,51.48,1:47.29,4:04.67,401
12.97,18.57,26.62,42.41,59.20,1:08.43,51.51,1:47.34,4:04.78,400
,18.58,26.63,42.43,59.23,1:08.46,51.53,1:47.38,4:04.90,399
12.98,18.59,26.64,42.45,59.25,1:08.50,51.55,1:47.43,4:05.01,398
,18.60,26.65,42.47,59.28,1:08.53,51.57,1:47.48,4:05.12,397
12.99,,26.67,42.48,59.30,1:08.56,51.60,1:47.52,4:05.23,396
,18.61,26.68,42.50,59.33,1:08.60,51.62,1:47.57,4:05.34,395
13.00,18.62,26.69,42.52,59.35,1:08.63,51.64,1:47.61,4:05.46,394
,18.63,26.70,42.54,59.38,1:08.67,51.66,1:47.66,4:05.57,393
13.01,18.64,26.71,42.56,59.40,1:08.70,51.69,1:47.71,4:05.68,392
,18.65,26.72,42.58,59.43,1:08.73,51.71,1:47.75,4:05.79,391
13.02,18.66,26.73,42.60,59.45,1:08.77,51.73,1:47.80,4:05.91,390
,18.67,26.74,42.62,59.48,1:08.80,51.75,1:47.85,4:06.02,389
13.03,18.68,26.76,42.63,59.50,1:08.84,51.78,1:47.89,4:06.13,388
,18.69,26.77,42.65,59.53,1:08.87,51.80,1:47.94,4:06.25,387
13.04,18.70,26.78,42.67,59.55,1:08.91,51.82,1:47.98,4:06.36,386
,18.71,26.79,42.69,59.58,1:08.94,51.85,1:48.03,4:06.47,385
13.05,,26.80,42.71,59.60,1:08.98,51.87,1:48.08,4:06.59,384
,18.72,26.81,42.73,59.63,1:09.01,51.89,1:48.12,4:06.70,383
13.06,18.73,26.82,42.75,59.65,1:09.04,51.91,1:48.17,4:06.81,382
,18.74,26.83,42.77,59.68,1:09.08,51.94,1:48.22,4:06.93,381
13.07,18.75,26.85,42.78,59.70,1:09.11,51.96,1:48.27,4:07.04,380
,18.76,26.86,42.80,59.73,1:09.15,51.98,1:48.31,4:07.16,379
13.08,18.77,26.87,42.82,59.75,1:09.18,52.01,1:48.36,4:07.27,378
,18.78,26.88,42.84,59.78,1:09.22,52.03,1:48.41,4:07.39,377
13.09,18.79,26.89,42.86,59.80,1:09.25,52.05,1:48.45,4:07.50,376
,18.80,26.90,42.88,59.83,1:09.29,52.08,1:48.50,4:07.62,375
13.10,18.81,26.91,42.90,59.86,1:09.32,52.10,1:48.55,4:07.73,374
,18.82,26.93,42.92,59.88,1:09.36,52.12,1:48.60,4:07.85,373
13.11,18.83,26.94,42.94,59.91,1:09.39,52.15,1:48.64,4:07.96,372
,18.84,26.95,42.96,59.93,1:09.43,52.17,1:48.69,4:08.08,371
13.12,,26.96,42.98,59.96,1:09.46,52.19,1:48.74,4:08.19,370
,18.85,26.97,43.00,59.98,1:09.50,52.22,1:48.79,4:08.31,369
13.13,18.86,26.98,43.01,1:00.01,1:09.53,52.24,1:48.83,4:08.43,368
,18.87,27.00,43.03,1:00.04,1:09.57,52.26,1:48.88,4:08.54,367
13.14,18.88,27.01,43.05,1:00.06,1:09.60,52.29,1:48.93,4:08.66,366
13.15,18.89,27.02,43.07,1:00.09,1:09.64,52.31,1:48.98,4:08.78,365
,18.90,27.03,43.09,1:00.11,1:09.68,52.33,1:49.03,4:08.89,364
13.16,18.91,27.04,43.11,1:00.14,1:09.71,52.36,1:49.07,4:09.01,363
,18.92,27.05,43.13,1:00.17,1:09.75,52.38,1:49.12,4:09.13,362
13.17,18.93,27.07,43.15,1:00.19,1:09.78,52.40,1:49.17,4:09.24,361
,18.94,27.08,43.17,1:00.22,1:09.82,52.43,1:49.22,4:09.36,360
13.18,18.95,27.09,43.19,1:00.24,1:09.85,52.45,1:49.27,4:09.48,359
,18.96,27.10,43.21,1:00.27,1:09.89,52.48,1:49.32,4:09.60,358
13.19,18.97,27.11,43.23,1:00.30,1:09.92,52.50,1:49.36,4:09.72,357
,18.98,27.12,43.25,1:00.32,1:09.96,52.52,1:49.41,4:09.83,356
13.20,18.99,27.14,43.27,1:00.35,1:10.00,52.55,1:49.46,4:09.95,355
,19.00,27.15,43.29,1:00.37,1:10.03,52.57,1:49.51,4:10.07,354
13.21,19.01,27.16,43.31,1:00.40,1:10.07,52.60,1:49.56,4:10.19,353
,19.02,27.17,43.33,1:00.43,1:10.10,52.62,1:49.61,4:10.31,352
13.22,19.03,27.18,43.35,1:00.45,1:10.14,52.64,1:49.66,4:10.43,351
13.23,19.04,27.19,43.37,1:00.48,1:10.18,52.67,1:49.71,4:10.55,350
,19.05,27.21,43.39,1:00.51,1:10.21,52.69,1:49.75,4:10.66,349
13.24,,27.22,43.41,1:00.53,1:10.25,52.72,1:49.80,4:10.78,348
,19.06,27.23,43.42,1:00.56,1:10.29,52.74,1:49.85,4:10.90,347
13.25,19.07,27.24,43.44,1:00.59,1:10.32,52.76,1:49.90,4:11.02,346
,19.08,27.25,43.46,1:00.61,1:10.36,52.79,1:49.95,4:11.14,345
