2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
5:05.99,7:23.38,7:54.99,7:57.76,12:40.67,26:25.85,1282
5:06.13,7:23.54,7:55.20,7:57.92,12:40.93,26:26.46,1281
5:06.27,7:23.69,7:55.41,7:58.09,12:41.20,26:27.07,1280
5:06.41,7:23.85,7:55.62,7:58.26,12:41.46,26:27.68,1279
5:06.55,7:24.00,7:55.84,7:58.42,12:41.73,26:28.29,1278
5:06.68,7:24.16,7:56.05,7:58.59,12:42.00,26:28.90,1277
5:06.82,7:24.31,7:56.26,7:58.76,12:42.26,26:29.51,1276
5:06.96,7:24.47,7:56.48,7:58.92,12:42.53,26:30.12,1275
5:07.10,7:24.62,7:56.69,7:59.09,12:42.79,26:30.73,1274
5:07.24,7:24.78,7:56.90,7:59.26,12:43.06,26:31.35,1273
5:07.38,7:24.93,7:57.12,7:59.43,12:43.32,26:31.96,1272
5:07.51,7:25.09,7:57.33,7:59.59,12:43.59,26:32.57,1271
5:07.65,7:25.24,7:57.54,7:59.76,12:43.86,26:33.18,1270
5:07.79,7:25.40,7:57.76,7:59.93,12:44.12,26:33.80,1269
5:07.93,7:25.56,7:57.97,8:00.10,12:44.39,26:34.41,1268
5:08.07,7:25.71,7:58.18,8:00.26,12:44.66,26:35.02,1267
5:08.21,7:25.87,7:58.40,8:00.43,12:44.92,26:35.64,1266
5:08.35,7:26.02,7:58.61,8:00.60,12:45.19,26:36.25,1265
5:08.49,7:26.18,7:58.83,8:00.77,12:45.46,26:36.86,1264
5:08.63,7:26.33,7:59.04,8:00.93,12:45.72,26:37.48,1263
5:08.76,7:26.49,7:59.25,8:01.10,12:45.99,26:38.09,1262
5:08.90,7:26.65,7:59.47,8:01.27,12:46.26,26:38.71,1261
5:09.04,7:26.80,7:59.68,8:01.44,12:46.52,26:39.32,1260
5:09.18,7:26.96,7:59.90,8:01.61,12:46.79,26:39.94,1259
5:09.32,7:27.11,8:00.11,8:01.77,12:47.06,26:40.56,1258
5:09.46,7:27.27,8:00.33,8:01.94,12:47.33,26:41.17,1257
5:09.60,7:27.43,8:00.54,8:02.11,12:47.59,26:41.79,1256
