Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
51,0:00:14.89,108,Todd McLeish,M,Unknown,18/07/1987,"IJA, Akron",http://www.juggling.org/orgs/ija/champs.txt
52,0:00:14.90,107,Darin Marriott,M,USA,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
52,0:00:14.90,107,Riley Wiklund,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
52,0:00:14.90,107,Paul Arneberg,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
52,0:00:14.90,107,Anders Kierulf,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
56,0:00:14.99,98,Eric Reinhart,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
57,0:00:15.10,87,Kyler McClintock,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
58,0:00:15.12,86,Nathan Vehse,M,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
59,0:00:15.20,78,Lauge Benjaminson,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
60,0:00:15.21,78,David Mlakar,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
61,0:00:15.28,72,Christian Roberto Lopez Rogriguez,M,ESP,19/11/2022,Time Trial,https://www.guinnessworldrecords.com/world-records/112079-fastest-100-m-joggling-with-three-objects-blindfolded
62,0:00:15.29,71,Jean-Marc Doiron,M,CAN,14/06/2024,Time Trial,https://www.instagram.com/reel/C8NTtX8uWZ2/?igsh=ZGUzMzM3NWJiOQ%3D%3D
63,0:00:15.30,70,Andrew Hodge,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
63,0:00:15.30,70,Shawn Bryan,M,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
63,0:00:15.30,70,Marlin Ballard,M,Unknown,13/08/1994,"IJA, Vermont",https://dev.juggle.org/history/champs/champs1994.php
66,0:00:15.40,62,Dan Burke,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
66,0:00:15.40,62,Rory Bade,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
66,0:00:15.40,62,Chris Van Hoomissen,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
66,0:00:15.40,62,Thomas Dietz,M,DEU,20/07/2013,"IJA, Bowling Green",IJA Database
70,0:00:15.50,54,Chris Garcia,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
71,0:00:15.54,51,Kyle Albrecht,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
72,0:00:15.63,45,Matt Cantrell,M,Unknown,23/07/1983,"IJA, Purchase, NY",http://www.juggling.org/orgs/ija/champs.txt
73,0:00:15.64,44,Scott Jenkins,M,GBR,20/04/2024,"British Joggler Meetup, Darlington",Manually recorded
74,0:00:15.65,44,Chuck Hawley,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
75,0:00:15.71,40,Ben Schoenberg,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
76,0:00:15.74,38,Jason Hollandsworth,M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
77,0:00:15.75,37,Martin Hiti,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
77,0:00:15.75,37,Nick Thomas,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
79,0:00:15.81,34,Ricky Harr,M,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
80,0:00:15.83,33,Michal Kapral,M,CAN,2022,"IJA, Virtual",IJA Database
81,0:00:15.85,32,Bernard Dehoog,M,Unknown,19/07/2005,"IJA, Davenport, Iowa",https://dev.juggle.org/history/champs/champs2005.php
82,0:00:15.86,31,Ken Rabe,M,Unknown,21/07/1984,"IJA, Las Vegas",http://www.juggling.org/orgs/ija/champs.txt
83,0:00:15.90,29,Samuel Dean,M,USA,2024,"IJA, Virtual",IJA Database
84,0:00:15.91,28,Nick Pavlak,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
85,0:00:15.96,26,Chris Fowler,M,Unknown,2020,"IJA, Virtual",IJA Database
86,0:00:15.99,24,Peter Holmquist,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
87,0:00:16.00,24,Reid Johnson,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
87,0:00:16.00,24,Colin Revere,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
87,0:00:16.00,24,Chris Olson,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
90,0:00:16.03,22,Matt Gifford,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
91,0:00:16.06,21,Daniel Rose,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
92,0:00:16.07,20,Peter Blanchard,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
93,0:00:16.09,19,Jeff Lutkus,M,USA,30/07/2016,"IJA, El Paso, Texas",IJA Database
93,0:00:16.09,19,Dan Tasse,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
95,0:00:16.10,19,Mike Monson,M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
96,0:00:16.11,19,Jake Lodge,M,GBR,21/04/2024,"British Joggler Meetup, Darlington",Manually recorded
97,0:00:16.15,17,Sam Nerenhaus,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
98,0:00:16.16,16,Jack Levy,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
99,0:00:16.18,16,Garrett Borawski,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
100,0:00:16.19,15,Jay Casper,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
101,0:00:16.28,12,Gus Tate,M,USA,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
102,0:00:16.30,11,Evan Peter,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
102,0:00:16.30,11,Alex Koren,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
102,0:00:16.30,11,Dave Kadlec,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
105,0:00:16.34,10,Mike Moore,M,USA,15/07/2017,"IJA, Cedar Rapids",IJA Database
106,0:00:16.37,9,Draco Tong,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
107,0:00:16.40,8,Kevin Giblin,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
108,0:00:16.44,7,Gabe Jakubisin,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
109,0:00:16.45,7,Jacob Heimer,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
110,0:00:16.50,5,Chris Laco,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
110,0:00:16.50,5,David Pavlove Cunsolo,M,Unknown,2020,"IJA, Virtual",IJA Database
112,0:00:16.58,4,Jonah Botinick-Greenhouse,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
112,0:00:16.58,4,Max Schlech,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
114,0:00:16.59,3,Ian O'Donnell,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
115,0:00:16.60,3,Austin Bruckner,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
115,0:00:16.60,3,Keith Tollefson,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
117,0:00:16.77,1,Bennett Santora,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
118,0:00:16.78,1,Neil Jordaan,M,Unknown,30/07/2016,"IJA, El Paso, Texas",IJA Database
119,0:00:16.84,0,Daniel Raum,M,AUT,2024,"IJA, Virtual",IJA Database
120,0:00:16.90,0,Chris Dokler,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
120,0:00:16.90,0,Graham Rowe,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
120,0:00:16.90,0,Marco Paoletti,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
123,0:00:16.91,0,Andrew Ruiz,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
124,0:00:16.93,0,Isaac Cantor,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
125,0:00:17.08,0,Tom McClintock,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
126,0:00:17.10,0,Mark Kolbus,M,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
126,0:00:17.10,0,Franz Roos,M,CHE,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
126,0:00:17.10,0,Gil Pontius,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
126,0:00:17.10,0,Joe Dean,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
130,0:00:17.18,0,Malthe Jerup Ostergaard,M,DNK,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
131,0:00:17.20,0,Ben Hout,M,Unknown,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
132,0:00:17.21,0,Cam Fleming,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
133,0:00:17.30,0,Sam Kilbourn,M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
134,0:00:17.36,0,Chris Edwin,M,GBR,21/04/2024,"British Joggler Meetup, Darlington",Manually recorded
