10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km,Points
29:51,45:26,48:54,1:01:16,1:04:43,1:17:37,1:34:16,2:15:44,6:22:40,1278
29:52,45:28,48:55,1:01:18,1:04:45,1:17:40,1:34:19,2:15:50,6:22:55,1277
29:53,45:29,48:57,1:01:20,1:04:47,1:17:43,1:34:23,2:15:55,6:23:10,1276
29:54,45:31,48:59,1:01:22,1:04:50,1:17:45,1:34:27,2:16:01,6:23:25,1275
29:55,45:33,49:01,1:01:24,1:04:52,1:17:48,1:34:30,2:16:07,6:23:40,1274
29:56,45:34,49:02,1:01:27,1:04:54,1:17:51,1:34:34,2:16:12,6:23:55,1273
29:57,45:36,49:04,1:01:29,1:04:57,1:17:54,1:34:38,2:16:18,6:24:10,1272
29:58,45:38,49:06,1:01:31,1:04:59,1:17:57,1:34:42,2:16:24,6:24:25,1271
29:59,45:39,49:08,1:01:33,1:05:01,1:18:00,1:34:45,2:16:30,6:24:40,1270
30:00,45:41,49:09,1:01:36,1:05:04,1:18:03,1:34:49,2:16:35,6:24:55,1269
30:02,45:42,49:11,1:01:38,1:05:06,1:18:06,1:34:53,2:16:41,6:25:10,1268
30:03,45:44,49:13,1:01:40,1:05:08,1:18:09,1:34:56,2:16:47,6:25:25,1267
30:04,45:46,49:15,1:01:42,1:05:11,1:18:12,1:35:00,2:16:53,6:25:40,1266
30:05,45:47,49:16,1:01:45,1:05:13,1:18:15,1:35:04,2:16:59,6:25:55,1265
30:06,45:49,49:18,1:01:47,1:05:16,1:18:18,1:35:08,2:17:04,6:26:10,1264
30:07,45:51,49:20,1:01:49,1:05:18,1:18:21,1:35:11,2:17:10,6:26:25,1263
30:08,45:52,49:22,1:01:51,1:05:20,1:18:24,1:35:15,2:17:16,6:26:40,1262
30:09,45:54,49:24,1:01:54,1:05:23,1:18:27,1:35:19,2:17:22,6:26:55,1261
30:10,45:56,49:25,1:01:56,1:05:25,1:18:30,1:35:23,2:17:27,6:27:10,1260
30:11,45:57,49:27,1:01:58,1:05:27,1:18:33,1:35:26,2:17:33,6:27:26,1259
30:12,45:59,49:29,1:02:00,1:05:30,1:18:35,1:35:30,2:17:39,6:27:41,1258
30:13,46:01,49:31,1:02:02,1:05:32,1:18:38,1:35:34,2:17:45,6:27:56,1257
30:14,46:02,49:32,1:02:05,1:05:35,1:18:41,1:35:37,2:17:50,6:28:11,1256
30:15,46:04,49:34,1:02:07,1:05:37,1:18:44,1:35:41,2:17:56,6:28:26,1255
30:16,46:06,49:36,1:02:09,1:05:39,1:18:47,1:35:45,2:18:02,6:28:41,1254
30:18,46:07,49:38,1:02:11,1:05:42,1:18:50,1:35:49,2:18:08,6:28:56,1253
30:19,46:09,49:40,1:02:14,1:05:44,1:18:53,1:35:52,2:18:14,6:29:11,1252
30:20,46:10,49:41,1:02:16,1:05:46,1:18:56,1:35:56,2:18:19,6:29:26,1251
30:21,46:12,49:43,1:02:18,1:05:49,1:18:59,1:36:00,2:18:25,6:29:41,1250
30:22,46:14,49:45,1:02:20,1:05:51,1:19:02,1:36:04,2:18:31,6:29:57,1249
30:23,46:15,49:47,1:02:23,1:05:54,1:19:05,1:36:07,2:18:37,6:30:12,1248
30:24,46:17,49:48,1:02:25,1:05:56,1:19:08,1:36:11,2:18:43,6:30:27,1247
30:25,46:19,49:50,1:02:27,1:05:58,1:19:11,1:36:15,2:18:48,6:30:42,1246
30:26,46:20,49:52,1:02:29,1:06:01,1:19:14,1:36:19,2:18:54,6:30:57,1245
30:27,46:22,49:54,1:02:32,1:06:03,1:19:17,1:36:22,2:19:00,6:31:12,1244
30:28,46:24,49:56,1:02:34,1:06:05,1:19:20,1:36:26,2:19:06,6:31:27,1243
30:29,46:25,49:57,1:02:36,1:06:08,1:19:23,1:36:30,2:19:12,6:31:43,1242
30:30,46:27,49:59,1:02:38,1:06:10,1:19:26,1:36:34,2:19:17,6:31:58,1241
30:31,46:29,50:01,1:02:41,1:06:13,1:19:29,1:36:37,2:19:23,6:32:13,1240
30:33,46:30,50:03,1:02:43,1:06:15,1:19:32,1:36:41,2:19:29,6:32:28,1239
30:34,46:32,50:05,1:02:45,1:06:17,1:19:35,1:36:45,2:19:35,6:32:43,1238
30:35,46:34,50:06,1:02:47,1:06:20,1:19:38,1:36:49,2:19:41,6:32:59,1237
30:36,46:35,50:08,1:02:50,1:06:22,1:19:41,1:36:53,2:19:47,6:33:14,1236
30:37,46:37,50:10,1:02:52,1:06:25,1:19:44,1:36:56,2:19:52,6:33:29,1235
30:38,46:39,50:12,1:02:54,1:06:27,1:19:47,1:37:00,2:19:58,6:33:44,1234
30:39,46:40,50:14,1:02:57,1:06:29,1:19:50,1:37:04,2:20:04,6:33:59,1233
30:40,46:42,50:15,1:02:59,1:06:32,1:19:53,1:37:08,2:20:10,6:34:15,1232
30:41,46:44,50:17,1:03:01,1:06:34,1:19:56,1:37:11,2:20:16,6:34:30,1231
30:42,46:45,50:19,1:03:03,1:06:37,1:19:59,1:37:15,2:20:22,6:34:45,1230
30:43,46:47,50:21,1:03:06,1:06:39,1:20:02,1:37:19,2:20:27,6:35:00,1229
30:44,46:49,50:23,1:03:08,1:06:41,1:20:05,1:37:23,2:20:33,6:35:16,1228
30:46,46:50,50:24,1:03:10,1:06:44,1:20:08,1:37:26,2:20:39,6:35:31,1227
30:47,46:52,50:26,1:03:12,1:06:46,1:20:11,1:37:30,2:20:45,6:35:46,1226
30:48,46:54,50:28,1:03:15,1:06:49,1:20:14,1:37:34,2:20:51,6:36:02,1225
30:49,46:55,50:30,1:03:17,1:06:51,1:20:17,1:37:38,2:20:57,6:36:17,1224
30:50,46:57,50:32,1:03:19,1:06:53,1:20:20,1:37:42,2:21:03,6:36:32,1223
30:51,46:59,50:33,1:03:21,1:06:56,1:20:23,1:37:45,2:21:08,6:36:47,1222
30:52,47:00,50:35,1:03:24,1:06:58,1:20:26,1:37:49,2:21:14,6:37:03,1221
30:53,47:02,50:37,1:03:26,1:07:01,1:20:29,1:37:53,2:21:20,6:37:18,1220
30:54,47:04,50:39,1:03:28,1:07:03,1:20:32,1:37:57,2:21:26,6:37:33,1219
30:55,47:05,50:41,1:03:31,1:07:05,1:20:35,1:38:01,2:21:32,6:37:49,1218
30:56,47:07,50:42,1:03:33,1:07:08,1:20:38,1:38:04,2:21:38,6:38:04,1217
30:57,47:09,50:44,1:03:35,1:07:10,1:20:41,1:38:08,2:21:44,6:38:19,1216
30:59,47:10,50:46,1:03:37,1:07:13,1:20:44,1:38:12,2:21:50,6:38:35,1215
31:00,47:12,50:48,1:03:40,1:07:15,1:20:47,1:38:16,2:21:55,6:38:50,1214
31:01,47:14,50:50,1:03:42,1:07:18,1:20:50,1:38:20,2:22:01,6:39:05,1213
31:02,47:15,50:51,1:03:44,1:07:20,1:20:53,1:38:23,2:22:07,6:39:21,1212
31:03,47:17,50:53,1:03:47,1:07:22,1:20:56,1:38:27,2:22:13,6:39:36,1211
31:04,47:19,50:55,1:03:49,1:07:25,1:20:59,1:38:31,2:22:19,6:39:51,1210
31:05,47:20,50:57,1:03:51,1:07:27,1:21:02,1:38:35,2:22:25,6:40:07,1209
31:06,47:22,50:59,1:03:53,1:07:30,1:21:05,1:38:39,2:22:31,6:40:22,1208
31:07,47:24,51:00,1:03:56,1:07:32,1:21:08,1:38:42,2:22:37,6:40:38,1207
31:08,47:26,51:02,1:03:58,1:07:34,1:21:11,1:38:46,2:22:43,6:40:53,1206
31:09,47:27,51:04,1:04:00,1:07:37,1:21:14,1:38:50,2:22:49,6:41:08,1205
31:11,47:29,51:06,1:04:03,1:07:39,1:21:17,1:38:54,2:22:54,6:41:24,1204
31:12,47:31,51:08,1:04:05,1:07:42,1:21:20,1:38:58,2:23:00,6:41:39,1203
31:13,47:32,51:10,1:04:07,1:07:44,1:21:23,1:39:01,2:23:06,6:41:55,1202
31:14,47:34,51:11,1:04:09,1:07:47,1:21:26,1:39:05,2:23:12,6:42:10,1201
31:15,47:36,51:13,1:04:12,1:07:49,1:21:29,1:39:09,2:23:18,6:42:26,1200
31:16,47:37,51:15,1:04:14,1:07:51,1:21:32,1:39:13,2:23:24,6:42:41,1199
