Rank,IAAF Points,Distance,Finish Time,Joggler,Gender,Nationality,Date,Drops,Notes / Result Links
1137,80,3b Marathon,3:45:50.00,Reg Bolton,M,GBR,1988,?,https://www.heraldscotland.com/default_content/12429364.reg-bolton/  https://www.jugglingballs.com.au/15-famous-jugglers-from-australia-and-the-world/
1138,79,3b 10km,0:46:03.00,Kacper Suchora,M,POL,23/02/2025,5,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://utm.run/wp-content/uploads/2025/02/2025_nh4s_zima_10.pdf
1139,79,3b 5km,0:21:11.00,Richard Ross,M,USA,27/06/2024,?,"https://results.raceroster.com/v2/en-US/results/2ndsm4heza7fpp96/detail/ghjtbysgwdzz6k3h
    https://www.instagram.com/p/C820yD9vLIH/?igsh=cXVnajd6ejRlcGE="
1140,79,3b 10km,0:46:02.00,Kacper Suchora,M,POL,13/06/2024,3,https://itmbw.pl/itmbwieczorem-wyniki/
1141,79,3b 800m,0:02:42.90,Mark Fiore,M,USA,22/07/2023,?,IJA Database
1142,79,3b 800m,0:02:42.80,Daniel Raum,M,AUT,25/07/2015,?,IJA Database
1143,79,3b 800m,0:02:42.41,Len Ferman,M,USA,17/07/2007,?,https://dev.juggle.org/history/champs/champs2007.php
1144,79,3b 800m,0:02:42.00,Christoph Mitasch,M,AUT,2022,?,IJA Database
1145,78,3b Half Marathon,1:42:20.58,Jake Lodge,M,GBR,16/11/2025,?,P21! https://watchtree.co.uk/wp-content/uploads/2025/11/provisional-resultshalf-marathon-2025-Google-Sheets.pdf https://www.strava.com/activities/16474561117
1146,78,3b 1000m,0:03:33.80,Christoph Mitasch,M,AUT,2023,?,IJA Database
1147,77,3b 5km,0:21:13.00,Kacper Suchora,M,POL,29/03/2025,0,https://www.parkrun.pl/puszczaniepolomicka/results/latestresults/
1148,77,3b Mile,0:06:08.00,Tim Ebersole,M,USA,12/06/2024,?,https://www.strava.com/activities/11638445130
1149,76,3b 5km,0:21:14.00,Jordan Evans,M,GBR,08/07/2017,?,https://www.strava.com/activities/1073066127
1150,76,3b Marathon,3:46:34.00,Perry Romanowski,M,USA,05/05/2013,?,https://marathonview.net/result/42981151
1151,75,3b 400m,0:01:35.94,Yvonne Burchartz,F,DEU,06/08/2026,?,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
1152,75,3b 400m,0:01:35.34,Tamara Maul,F,DEU,02/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
1153,75,3b 400m,0:01:35.00,Erika Randall,F,0,30/07/1999,?,IJA Database
1154,74,3b 10km,0:46:14.00,Necmi Oztoprak,M,TUR,13/10/2019,0,https://www.instagram.com/p/B3mGtkLAt7M/  https://www.abavent.de/anmeldeservice/muenchenmarathon2019/ergebnisse?en#3_CF93CE
1155,73,3b 5km,0:21:17.00,Jordan Evans,M,GBR,24/06/2017,?,https://www.strava.com/activities/1051235595
1156,73,3b 5km,0:21:17.00,Jordan Evans,M,GBR,03/06/2017,?,https://www.strava.com/activities/1018599588
