Rank,IAAF Points,Distance,Finish Time,Joggler,Gender,Nationality,Date,Drops,Notes / Result Links
421,232,3b 10km,0:41:26.00,Scott Jenkins,M,GBR,13/02/2022,0,
422,230,3b 5km,0:19:12.00,Chris Edwin,M,GBR,19/02/2023,1,https://www.parkrun.org.uk/robertspark/results/19/      https://www.facebook.com/108529600921199/posts/pfbid0xiw65sANFevSWGv3avyQoS8v81v9Vyvz83nWbR9Zx7TBRMxYKAk6Xc4CW6C9UAoTl/?app=fbl
423,230,3b Mile,0:05:34.28,Clarke McFarlane,M,0,18/07/1987,?,http://www.juggling.org/orgs/ija/champs.txt
424,229,3b 400m,0:01:04.85,Dominic Lodge,M,GBR,09/08/2025,0,EJC results in Joggler's United Group
425,229,3b Half Marathon,1:32:01.00,Dominic Lodge,M,GBR,17/11/2024,11,https://www.strava.com/activities/12920882173  https://docs.google.com/spreadsheets/d/1xG136D94wNXM98BcByv_nZc7rszIR8WUljIfApThARk/edit?fbclid=IwY2xjawGpmTJleHRuA2FlbQIxMQABHWp8OfxOUxsaM-ty_Qqemjc3TGKVDC3alC-gNi33uGxyg1BPMsIXyaKgSw_aem_G64t2d7Le1K2E2_3y2MXPA
426,229,3b 400m,0:01:04.40,Mark Fiore,M,USA,15/07/2017,?,IJA Database
427,229,3b 400m,0:01:04.47,Tyler Wishau,M,USA,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
428,229,3b 400m,0:01:04.62,Trey Newsome,M,USA,19/07/2005,?,https://dev.juggle.org/history/champs/champs2005.php
429,229,3b 400m,0:01:04.30,Jamie Whoolery,M,0,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
430,229,3b 400m,0:01:04.93,Jamie Whoolery,M,0,28/07/2001,?,https://dev.juggle.org/history/champs/champs2001.php
431,229,3b 400m,0:01:04.88,Barry Goldmeier,M,USA,20/07/1991,?,http://www.juggling.org/orgs/ija/champs.txt
432,229,3b 400m,0:01:04.50,Albert Lucas,M,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
433,228,3b Half Marathon,1:32:03.00,James McDiarmid,M,GBR,09/03/2025,?,https://invernesshalfmarathon.co.uk/results/1/2025/?epage=1&sort=Position&text-search=Mcdiarmid&filter=#more
434,227,3b Marathon,3:22:32.00,Ashrita Furman,M,USA,04/07/1988,?,
435,226,3b Half Marathon,1:32:10.00,Scott Jenkins,M,GBR,13/10/2024,2,"https://www.strava.com/activities/12643984253

https://www.burnham-on-sea.com/news/two-new-course-records-set-at-2024-burnham-on-sea-half-marathon-photos-full-results/

https://www.burnham-on-sea.com/wp-content/uploads/2024/10/BHM-Results-V1.1.pdf"
436,225,3b Half Marathon,1:32:12.00,Daniel Raum,M,AUT,12/09/2021,?,https://my.raceresult.com/163389/
437,224,3b Half Marathon,1:32:17.00,Jordan Evans,M,GBR,01/10/2017,?,https://www.strava.com/activities/1209848764
438,224,3b 5km,0:19:16.00,Jacob Heimer,M,0,15/07/2017,?,https://www.juggle.org/enewsletter/2017-07
439,224,3b 5km,0:19:16.60,Jacob Heimer,M,0,15/07/2017,?,IJA Database
440,224,3b Marathon,3:22:54.00,Perry Romanowski,M,USA,09/10/2005,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
441,224,3b Mile,0:05:35.80,Albert Lucas,M,USA,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
442,223,3b Marathon,3:22:58.00,Daniel Raum,M,AUT,26/05/2019,?,https://services.datasport.com/2019/lauf/winterthur/rang010.htm
443,223,3b Marathon,3:23:00.00,Perry Romanowski,M,USA,2007,?,
444,222,3b 2 Miles,0:12:07.00,Jonathan Abbott,M,USA,08/06/2025,0,https://runsignup.com/Race/Photos/Location/SuperheroSprint2025/NJ/WallTwp/superherosprint P1
445,221,3b 100m,0:00:14.63,Karel Schuller,M,NLD,06/08/2026,?,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
446,221,3b 100m,0:00:14.87,Tamino Larisch,M,DEU,06/08/2026,?,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
447,221,3b 100m,0:00:14.03,Dominic Lodge,M,GBR,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
448,221,3b 100m,0:00:14.22,Finn Mertens,M,BEL,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
449,221,3b 100m,0:00:14.75,Finn Mertens,M,BEL,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
450,221,3b 100m,0:00:14.93,Karel Schuller,M,NLD,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
451,221,3b 100m,0:00:14.97,Karel Schuller,M,NLD,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
452,221,3b 100m,0:00:14.94,Samuel Tittelein,M,FRA,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
453,221,3b 100m,0:00:14.00,Shimon Levikov,M,DEU,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
454,221,3b 100m,0:00:14.87,Tamino Larisch,M,DEU,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
455,221,3b 100m,0:00:14.97,Tamino Larisch,M,DEU,04/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
456,221,3b 100m,0:00:14.10,Shimon Levikov,M,DEU,03/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
457,221,3b 100m,0:00:14.93,Karel Schuller,M,NLD,02/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
458,221,3b 100m,0:00:14.97,Shimon Levikov,M,DEU,02/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
459,221,3b 100m,0:00:14.87,Shimon Levikov,M,DEU,02/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
460,221,3b 100m,0:00:14.13,Stijn Westerbeek,M,NLD,02/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
461,221,3b 100m,0:00:14.96,Scott Jenkins,M,GBR,17/05/2026,0,https://youtu.be/rBhM7jC_XPs?si=gZcprv3qNQBV_N21
462,221,5b 100m,0:00:14.98,Mark Fiore,M,USA,09/08/2025,0,EJC results in Joggler's United Group
463,221,3b 100m,0:00:14.43,Scott Jenkins,M,GBR,09/08/2025,?,EJC results in Joggler's United Group
464,221,3b 100m,0:00:14.79,Shimon Levikov,M,DEU,09/08/2025,?,EJC results in Joggler's United Group
465,221,4b 100m,0:00:14.71,Mark Fiore,M,USA,19/07/2025,?,IJA Database
466,221,3b 100m,0:00:14.74,Alexander Armbruster,M,DEU,30/07/2023,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
467,221,3b 100m,0:00:14.98,Ilia Poliakov,M,ISR,30/07/2023,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
468,221,3b 100m,0:00:14.14,Sebastian Siwiec,M,POL,30/07/2023,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
469,221,3b 100m,0:00:14.84,Vasek Peca,M,CZE,30/07/2023,?,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
470,221,3b 100m,0:00:14.41,Jared Janssen,M,0,22/07/2023,?,IJA Database
471,221,5b 100m,0:00:14.63,Mark Fiore,M,USA,22/07/2023,?,IJA Database
472,221,3b 100m,0:00:14.37,Sterling Franklin,M,USA,22/07/2023,?,IJA Database
473,221,3b 100m,0:00:14.62,Ben Fry,M,0,24/07/2018,?,IJA Database
474,221,3b 100m,0:00:14.00,Bryan Harris,M,0,24/07/2018,?,IJA Database
475,221,3b 100m,0:00:14.20,Jared Ashton,M,0,24/07/2018,?,IJA Database
476,221,5b 100m,0:00:14.10,Matthew Feldman,M,USA,24/07/2018,?,IJA Database
477,221,3b 100m,0:00:14.28,Mark Fiore,M,USA,15/07/2017,?,IJA Database
478,221,3b 100m,0:00:14.34,Christopher van Hoomissen,M,0,30/07/2016,?,IJA Database
479,221,3b 100m,0:00:14.97,Nicolas Souren,M,0,30/07/2016,?,IJA Database
480,221,3b 100m,0:00:14.41,Ben Thompson,M,0,25/07/2015,?,IJA Database
481,221,3b 100m,0:00:14.56,Derek Holm,M,0,25/07/2015,?,IJA Database
482,221,3b 100m,0:00:14.99,Eric Reinhart,M,0,25/07/2015,?,IJA Database
483,221,3b 100m,0:00:14.52,Joe Lyons,M,0,25/07/2015,?,http://www.juggling.org/orgs/ija/champs.txt
484,221,3b 100m,0:00:14.64,Michael Nance,M,0,25/07/2015,?,http://www.juggling.org/orgs/ija/champs.txt
485,221,3b 100m,0:00:14.60,Jared Janssen,M,0,20/07/2013,?,IJA Database
486,221,3b 100m,0:00:14.10,Albert Lucas,M,USA,21/07/2012,?,IJA Database
487,221,3b 100m,0:00:14.30,Dylan Waickman,M,0,21/07/2012,?,IJA Database
488,221,3b 100m,0:00:14.60,Joe Spicola,M,0,21/07/2012,?,IJA Database
489,221,3b 100m,0:00:14.80,Len Ferman,M,USA,21/07/2012,?,IJA Database
490,221,3b 100m,0:00:14.50,Nicolas Souren,M,0,21/07/2012,?,IJA Database
491,221,3b 100m,0:00:14.28,Chris Lovdal,M,USA,20/07/2011,?,IJA Database
492,221,3b 100m,0:00:14.48,Tyler Wishau,M,USA,20/07/2011,?,IJA Database
493,221,3b 100m,0:00:14.90,Anders Kierulf,M,0,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
494,221,3b 100m,0:00:14.20,Dylan Waickman,M,0,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
495,221,3b 100m,0:00:14.60,Joey Spicola,M,0,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
496,221,3b 100m,0:00:14.90,Paul Arneberg,M,0,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
497,221,3b 100m,0:00:14.80,Tim Hark,M,0,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
498,221,3b 100m,0:00:14.76,Chris Lovdal,M,USA,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
499,221,3b 100m,0:00:14.66,Jeremy Stanley,M,0,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
500,221,3b 100m,0:00:14.45,Tyler Wishau,M,USA,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
501,221,3b 100m,0:00:14.56,Chris Essick,M,USA,15/07/2008,?,https://dev.juggle.org/history/champs/champs2008.php
502,221,3b 100m,0:00:14.10,Jeremy Stanley,M,0,15/07/2008,?,https://dev.juggle.org/history/champs/champs2008.php
503,221,3b 100m,0:00:14.91,Anders Kierulf,M,0,17/07/2007,?,https://dev.juggle.org/history/champs/champs2007.php
504,221,3b 100m,0:00:14.81,David Ferman,M,USA,17/07/2007,?,https://dev.juggle.org/history/champs/champs2007.php
505,221,3b 100m,0:00:14.90,Riley Wiklund,M,0,18/07/2006,?,https://dev.juggle.org/history/champs/champs2006.php
506,221,3b 100m,0:00:14.03,Trey Newsome,M,USA,18/07/2006,?,https://dev.juggle.org/history/champs/champs2006.php
507,221,3b 100m,0:00:14.25,Chris Essick,M,USA,19/07/2005,?,https://dev.juggle.org/history/champs/champs2005.php
508,221,3b 100m,0:00:14.43,Trey Newsome,M,USA,19/07/2005,?,https://dev.juggle.org/history/champs/champs2005.php
509,221,3b 100m,0:00:14.50,Sam Hartford,M,0,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
510,221,3b 100m,0:00:14.00,Barry Goldmeier,M,USA,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
511,221,3b 100m,0:00:14.00,Nathan Seedfeldt,M,0,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
512,221,3b 100m,0:00:14.10,David Hussey,M,0,30/07/1999,?,IJA Database
513,221,3b 100m,0:00:14.80,Joe Sonnenburg,M,0,30/07/1999,?,IJA Database
514,221,3b 100m,0:00:14.10,Barry Goldmeier,M,USA,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
515,221,3b 100m,0:00:14.90,Darin Marriott,M,USA,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
516,221,3b 100m,0:00:14.80,Andrew Swan,M,0,20/07/1996,?,https://dev.juggle.org/history/champs/champs1996.php
517,221,3b 100m,0:00:14.90,Barry Goldmeier,M,USA,20/07/1996,?,https://dev.juggle.org/history/champs/champs1996.php
518,221,3b 100m,0:00:14.16,Barry Goldmeier,M,USA,20/07/1991,?,http://www.juggling.org/orgs/ija/champs.txt
519,221,3b 100m,0:00:14.56,Jim Steffens,M,0,20/07/1991,?,http://www.juggling.org/orgs/ija/champs.txt
520,221,3b 100m,0:00:14.30,Barry Goldmeier,M,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
521,221,3b 100m,0:00:14.00,Tom Sparough,M,0,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
522,221,3b 100m,0:00:14.89,Todd McLeish,M,0,18/07/1987,?,http://www.juggling.org/orgs/ija/champs.txt
523,221,3b 100m,0:00:14.61,Tom Sparough,M,0,18/07/1987,?,http://www.juggling.org/orgs/ija/champs.txt
524,221,3b 100m,0:00:14.63,Michel Lauziere,M,CAN,23/07/1983,?,http://www.juggling.org/orgs/ija/champs.txt
525,221,3b 100m,0:00:14.83,Yvon Tourigny,M,0,23/07/1983,?,http://www.juggling.org/orgs/ija/champs.txt
526,221,3b 100m,0:00:14.85,Bill Giduz,M,USA,18/07/1981,?,https://dev.juggle.org/history/champs/champs1981.php
527,221,3b 100m,0:00:14.50,Paul Williams,M,0,18/07/1981,?,https://dev.juggle.org/history/champs/champs1981.php
528,221,4b 100m,0:00:14.84,Sterling Franklin,M,USA,2024,?,IJA Database
529,221,3b 100m,0:00:14.22,Sterling Franklin,M,USA,2022,?,IJA Database
530,221,5b 100m,0:00:14.37,Mark Fiore,M,USA,2021,?,IJA Database
531,221,3b 100m,0:00:14.73,Matthew Feldman,M,USA,2021,?,IJA Database
532,221,3b 100m,0:00:14.50,Stephan Cipra,M,DEU,2021,?,IJA Database
533,221,3b 100m,0:00:14.10,Sterling Franklin,M,USA,2021,?,IJA Database
534,220,3b 5km,0:19:18.00,James McDiarmid,M,GBR,27/04/2024,0,https://www.parkrun.org.uk/portobello/results/381/
535,219,3b Mile,0:05:36.00,Bill Giduz,M,USA,17/07/1982,?,http://www.juggling.org/orgs/ija/champs.txt
536,217,3b 5km,0:19:20.00,James McDiarmid,M,GBR,18/11/2023,0,https://www.parkrun.org.uk/edinburgh/results/651/
537,217,3b 5km,0:19:20.80,Mickey Campaniello,M,0,26/07/1986,?,http://www.juggling.org/orgs/ija/champs.txt
538,216,3b Marathon,3:23:57.00,Jonathan Abbott,M,USA,06/04/2025,?,https://www.facebook.com/groups/372157942956062/permalink/2837234993114999/?app=fbl
539,216,3b 5km,0:19:21.00,Samuel Dean,M,USA,16/12/2023,1,https://www.strava.com/activities/10391427729
540,215,3b 10km,0:41:51.00,Kacper Suchora,M,POL,10/05/2025,1,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://utm.run/wp-content/uploads/2025/05/2025_nh4s_wiosna_10.pdf
541,215,3b 800m,0:02:29.89,Scott Jenkins,M,GBR,08/09/2024,0,Manually Timed by Chris Edwin
542,214,3b 200m,0:00:29.18,Scott Jenkins,M,GBR,17/05/2026,0,https://youtu.be/EsKZ-dj0iNE
543,214,3b 200m,0:00:29.90,Scott Jenkins,M,GBR,31/08/2025,0,https://www.strava.com/activities/15648838273
544,214,3b 200m,0:00:29.39,Samuel Dean,M,USA,11/07/2024,?,IJA Database
545,214,3b 200m,0:00:29.38,Mark Fiore,M,USA,29/06/2019,?,IJA Database
546,214,3b 10km,0:41:53.00,Jordan Evans,M,GBR,09/09/2018,?,https://www.strava.com/activities/1829732164
547,214,3b 200m,0:00:29.50,Sean Carney,M,USA,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
548,214,3b 200m,0:00:29.87,Chris Lovdal,M,USA,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
549,214,3b 200m,0:00:29.90,Ben Thompson,M,0,15/07/2008,?,https://dev.juggle.org/history/champs/champs2008.php
550,214,3b 200m,0:00:29.55,Trey Newsome,M,USA,18/07/2006,?,https://dev.juggle.org/history/champs/champs2006.php
551,214,3b 200m,0:00:29.44,Sterling Franklin,M,USA,2023,?,IJA Database
552,214,3b 200m,0:00:29.96,Sterling Franklin,M,USA,2022,?,IJA Database
553,214,3b 200m,0:00:29.14,Sterling Franklin,M,USA,2021,?,IJA Database
554,214,3b 200m,0:00:29.12,Sterling Franklin,M,USA,2020,?,IJA Database
555,213,3b Mile,0:05:37.00,Kevin Niittyviita,M,FIN,08/08/2026,?,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
556,213,3b Mile,0:05:37.00,Scott Jenkins,M,GBR,21/04/2024,0,Manually recorded
557,211,3b Half Marathon,1:32:59.00,Tim Ebersole,M,USA,08/09/2019,2,https://falconracetiming.com/racetimes/Harrisburg%20Half%20Marathon%20Overall%202019.htm
558,209,3b Marathon,3:24:46.00,Perry Romanowski,M,USA,22/10/2006,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
559,209,3b 400m,0:01:25.60,Heather Marriott,F,USA,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
560,209,3b 400m,0:01:25.37,Heather Marriott,F,USA,28/07/2001,?,https://dev.juggle.org/history/champs/champs2001.php
561,209,3b 400m,0:01:25.00,Lana Bolin,F,USA,30/07/1999,?,IJA Database
562,208,3b 5km,0:19:26.00,Scott Jenkins,M,GBR,16/05/2026,0,https://www.parkrun.org.uk/myrtle/results/324/
563,208,3b Mile,0:05:38.20,Mark Branner,M,0,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
564,208,3b Mile,0:05:38.00,Paul Bernardo,M,0,23/07/1983,?,http://www.juggling.org/orgs/ija/champs.txt
565,207,3b 1000m,0:03:16.50,Sterling Franklin,M,USA,2023,?,IJA Database
566,203,3b Half Marathon,1:33:28.00,James McDiarmid,M,GBR,24/09/2023,0,https://www.scottishhalfmarathon.com/results
567,202,3b Mile,0:05:39.04,Nathan Nard,M,0,19/07/2025,?,IJA Database
568,202,3b 5km,0:19:30.00,James McDiarmid,M,GBR,11/11/2023,3,https://www.parkrun.org.uk/edinburgh/results/650/
569,202,3b Mile,0:05:39.00,Paul Arneberg,M,0,20/07/1996,?,https://dev.juggle.org/history/champs/champs1996.php
570,202,3b Mile,0:05:39.00,Steve Wilson,M,0,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
571,201,3b 5km,0:19:31.00,Scott Jenkins,M,GBR,26/03/2022,0,
572,201,3b Marathon,3:25:49.00,Perry Romanowski,M,USA,10/10/2004,?,https://chicago-history.r.mikatiming.com/2021/?pid=search
573,200,3b 400m,0:01:05.91,Stijn Westerbeek,M,NLD,02/08/2026,?,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
574,200,3b 400m,0:01:05.00,Ben Fry,M,0,25/07/2015,?,IJA Database
575,200,3b 400m,0:01:05.70,Griffin Kelley,M,0,20/07/2011,?,IJA Database
576,200,3b 400m,0:01:05.40,Len Ferman,M,USA,20/07/2011,?,IJA Database
577,200,3b 400m,0:01:05.10,Jamie Whoolery,M,0,13/07/2004,?,https://dev.juggle.org/history/champs/champs2004.php
578,200,3b 400m,0:01:05.40,Andrew Swan,M,0,20/07/1996,?,https://dev.juggle.org/history/champs/champs1996.php
579,200,3b 400m,0:01:05.40,Franz Roos,M,CHE,19/07/1995,?,https://dev.juggle.org/history/champs/champs1995.php
580,200,3b 400m,0:01:05.30,John Zaleskie,M,0,13/08/1994,?,https://dev.juggle.org/history/champs/champs1994.php
581,199,3b 5km,0:19:32.00,Sterling Franklin,M,USA,04/11/2018,0,https://www.youtube.com/watch?v=4pMKerapCpk
582,196,3b 5km,0:19:34.00,Scott Jenkins,M,GBR,26/02/2022,0,
583,196,3b 5km,0:19:34.30,John Kilgust,M,0,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
584,195,3b 2 Miles,0:12:18.00,Scott Jenkins,M,GBR,08/06/2025,0,https://runsignup.com/Race/Photos/Location/SuperheroSprint2025/NJ/WallTwp/superherosprint P2
585,195,3b 5km,0:19:35.00,Shidan Habib,M,0,23/07/1983,?,http://www.juggling.org/orgs/ija/champs.txt
586,193,3b Half Marathon,1:34:03.00,Scott Jenkins,M,GBR,19/12/2021,3,http://results.runthrough.co.uk/results.aspx?CId=16487&RId=4574&EId=5&dt=0&PageNo=1&adv=0
587,193,3b 5km,0:19:36.00,Bob Evans,M,USA,15/07/2017,?,https://www.juggle.org/enewsletter/2017-07
588,193,3b 5km,0:19:36.10,Bob Evans,M,USA,15/07/2017,?,IJA Database
589,192,3b 15km,1:28:05.00,Katie Burgess,F,0,15/07/2025,?,IJA Database
590,192,3b 400m,0:01:26.00,Lana Bolin,F,USA,18/07/2006,?,https://dev.juggle.org/history/champs/champs2006.php
591,192,3b Mile,0:05:41.00,Steve Otteson,M,0,22/07/1989,?,http://www.juggling.org/orgs/ija/champs.txt
592,191,3b 15km,1:28:06.00,Meggie Exner,F,0,15/07/2025,?,IJA Database
593,190,3b 800m,0:02:31.00,Nathan Lane,M,0,20/07/2013,?,IJA Database
594,190,3b 10km,0:42:29.00,Daniel Raum,M,AUT,2024,?,IJA Database
595,190,3b 800m,0:02:31.30,Michal Kapral,M,CAN,2022,?,IJA Database
596,190,3b 800m,0:02:31.65,Michal Kapral,M,CAN,2022,0,https://www.youtube.com/watch?v=GtdYaeHkXNw
597,189,3b Marathon,3:27:30.00,James McDiarmid,M,GBR,26/05/2024,5,https://www.instagram.com/p/C7ce9jMIy37/
598,189,3b 5km,0:19:39.00,James McDiarmid,M,GBR,02/09/2023,0,https://www.parkrun.org.uk/holyrood/results/54/
599,189,3b Marathon,3:27:29.00,Perry Romanowski,M,USA,22/11/2009,?,https://marathonview.net/result/60673065
600,188,3b 5km,0:26:57.00,Kay Caskey,F,0,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
601,188,3b 5km,0:26:57.00,Marion Caldwell,F,0,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
602,187,3b Mile,0:05:42.50,Darin Marriott,M,USA,30/07/1999,?,IJA Database
603,187,3b Mile,0:05:42.00,Mike Hebebrand,M,USA,19/07/1995,?,https://dev.juggle.org/history/champs/champs1995.php
604,186,3b 800m,0:03:18.60,Katie Burgess,F,0,24/07/2018,?,IJA Database
605,186,3b 5km,0:19:41.00,Tyler Wishau,M,USA,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
606,185,3b Marathon,3:28:01.00,Perry Romanowski,M,USA,09/01/2005,?,https://marathonview.net/result/61221540
607,184,3b Mile,0:07:34.00,Kathy Glynn,F,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
608,183,3b 5km,0:19:43.00,James McDiarmid,M,GBR,26/08/2023,?,https://twitter.com/BobakChampion/status/1695403676653764661?t=V1talFM3LhClas5Hx3vH-w&s=19
609,183,3b 5km,0:19:43.00,Jordan Evans,M,GBR,05/08/2017,?,https://www.strava.com/activities/1117927066
610,183,3b 5km,0:19:43.00,Sterling Franklin,M,USA,2020,?,IJA Database
611,182,3b 5km,0:19:44.00,Scott Jenkins,M,GBR,06/09/2025,0,https://www.parkrun.org.uk/canterbury/results/523
612,182,3b 5km,0:19:44.00,Bradley Fiander,M,CAN,19/05/2018,?,https://www.sportstats.ca/display-results.xhtml?raceid=93319&status=results&bib=9207     https://www.facebook.com/664250217053533/posts/pfbid026Q8wfDQrDtNwPhxy9kixvJSxzPoa62mcs3kfx9te2VsD5PViKr5DnzvxC4JRf17Xl/?app=fbl
613,182,3b Marathon,3:28:29.00,Ivan Schleppenbach,M,USA,19/05/2018,?,https://www.mtecresults.com/runner/show?race=6660&rid=463
614,182,3b 5km,0:19:44.00,Jordan Evans,M,GBR,14/04/2018,?,https://www.strava.com/activities/1507147677
615,182,3b Mile,0:07:35.00,Marion Caldwell,F,0,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
616,180,3b 5km,0:19:45.00,Scott Jenkins,M,GBR,09/03/2024,0,https://www.strava.com/activities/10921014895
617,180,3b 5km,0:19:45.00,Tim Ebersole,M,USA,04/12/2021,0,https://falconracetiming.com/racetimes/Frosty%205k%20AG%202021.htm
618,179,3b 5km,0:19:46.00,Scott Jenkins,M,GBR,13/12/2025,0,https://www.parkrun.org.uk/dunfermline/results/431/
619,179,3b 5km,0:19:46.00,Scott Jenkins,M,GBR,17/05/2025,0,https://www.parkrun.org.uk/oriam/results/196 https://www.strava.com/activities/14505774094
620,179,3b Marathon,3:28:56.00,David Livingston,M,USA,26/09/2009,?,https://eu.beaconjournal.com/story/news/local/2015/09/24/wooster-runner-hopes-to-set/10301568007/  https://marathonview.net/search?query=david%20livingston
621,179,3b Marathon,3:28:54.00,Perry Romanowski,M,USA,24/09/2006,?,https://marathonview.net/result/53088739
622,178,3b 800m,0:02:32.60,Len Ferman,M,USA,20/07/2010,?,https://dev.juggle.org/history/champs/champs2010.php
623,178,3b 800m,0:02:32.00,Len Ferman,M,USA,14/07/2009,?,https://dev.juggle.org/history/champs/champs2009.php
624,178,3b 800m,0:02:32.90,Perry Romanowski,M,USA,15/07/2008,?,https://dev.juggle.org/history/champs/champs2008.php
625,178,3b Marathon,3:29:04.00,Albert Lucas,M,USA,1988,?,
626,177,3b 5km,0:19:47.00,Scott Jenkins,M,GBR,22/03/2025,0,3 lemon joggling! https://www.strava.com/activities/13951591668
627,177,3b 600m,0:01:49.00,Sterling Franklin,M,USA,29/06/2019,?,IJA Database
628,177,3b 400m,0:01:27.60,Melinda Paas,F,CAN,06/08/1997,?,https://dev.juggle.org/history/champs/champs1997.php
629,176,3b 5km,0:19:48.04,Ben Schoenberg,M,0,25/07/2015,?,http://www.juggling.org/orgs/ija/champs.txt
630,176,3b Mile,0:05:44.00,Marty Gardella,M,0,26/07/1986,?,http://www.juggling.org/orgs/ija/champs.txt
631,176,3b 5km,0:19:48.00,Perry Romanowski,M,USA,2005,?,
632,175,3b 5km,0:19:49.15,Nathan Nard,M,0,15/07/2025,?,IJA Database
633,173,3b 10km,0:58:23.00,EJ Coldham,F,GBR,24/09/2023,?,https://www.strava.com/activities/9909298131
634,172,3b 400m,0:01:06.40,Scott Jenkins,M,GBR,17/12/2024,0,https://www.strava.com/activities/13159372547
635,172,3b 400m,0:01:06.70,Matthew Feldman,M,USA,24/07/2018,?,IJA Database
636,172,3b 400m,0:01:06.20,Barry Goldmeier,M,USA,25/07/2015,?,http://www.juggling.org/orgs/ija/champs.txt
637,172,3b 800m,0:03:20.00,Katie Burgess,F,0,25/07/2015,?,IJA Database
